Date,Open,High,Low,Close,Adj Close,Volume
1995-04-01,2.625000,2.695313,2.332031,2.566406,1.633763,44745601
1995-05-01,2.589844,3.410156,2.542969,3.023438,1.924707,61303466
1995-06-01,3.035156,3.480469,2.988281,3.363281,2.141050,28473599
1995-07-01,3.468750,5.519531,3.433594,5.250000,3.342126,68371200
1995-08-01,5.296875,5.296875,4.265625,4.417969,2.812460,31078399
1995-09-01,4.476563,5.238281,3.585938,4.113281,2.618496,24162134
1995-10-01,4.148438,4.875000,3.468750,4.652344,2.961662,29434666
1995-11-01,4.652344,4.675781,3.914063,3.949219,2.514055,15204266
1995-12-01,3.966797,4.148438,3.093750,3.117188,1.984388,33282133
1996-01-01,3.164063,4.312500,3.140625,4.195313,2.670717,43715199
1996-02-01,4.171875,4.968750,4.013672,4.546875,2.894520,46043735
1996-03-01,4.593750,4.664063,3.679688,3.785156,2.409614,107181866
1996-04-01,3.832031,4.312500,3.773438,4.148438,2.640877,20628264
1996-05-01,4.125000,4.500000,4.031250,4.429688,2.819920,28419202
1996-06-01,4.453125,4.687500,3.679688,3.843750,2.446914,40474667
1996-07-01,3.937500,4.042969,3.210938,3.539063,2.252952,46951467
1996-08-01,3.556641,3.867188,3.410156,3.609375,2.297712,11315199
1996-09-01,3.445313,3.726563,3.082031,3.568359,2.271602,20621868
1996-10-01,3.527344,3.878906,3.328125,3.375000,2.148510,10954667
1996-11-01,3.375000,4.335938,3.351563,4.136719,2.633417,29418669
1996-12-01,4.113281,4.757813,4.042969,4.669922,2.972851,79638401
1997-01-01,4.640625,6.914063,4.617188,6.855469,4.364161,65978666
1997-02-01,7.054688,7.054688,6.082031,6.234375,3.968775,48473599
1997-03-01,6.257813,8.109375,6.210938,7.031250,4.476063,72293334
1997-04-01,6.960938,8.062500,6.492188,7.453125,4.744626,87323734
1997-05-01,7.453125,10.570313,7.382813,9.796875,6.236647,99597335
1997-06-01,9.750000,11.203125,8.718750,10.968750,6.982658,68415465
1997-07-01,10.851563,16.875000,10.851563,15.187500,9.668293,93288534
1997-08-01,15.117188,18.890625,14.718750,15.937500,10.145741,88285332
1997-09-01,16.359375,20.203125,15.703125,18.515625,11.786964,83416535
1997-10-01,18.773438,19.828125,12.773438,13.734375,8.743241,164102398
1997-11-01,14.156250,16.382813,11.062500,11.718750,7.460104,127212798
1997-12-01,12.375000,13.687500,10.570313,12.656250,8.056911,112539733
1998-01-01,12.632813,14.484375,11.367188,13.031250,8.295633,105450666
1998-02-01,13.570313,18.210938,13.406250,17.507813,11.145396,92511466
1998-03-01,17.554688,18.398438,16.125000,17.332031,11.033496,84691201
1998-04-01,17.250000,18.398438,16.183594,17.179688,10.936515,41586132
1998-05-01,16.757813,17.156250,14.250000,14.367188,9.146088,47039200
1998-06-01,14.625000,14.625000,10.007813,10.898438,6.937898,103865867
1998-07-01,11.015625,12.421875,9.843750,10.757813,6.848377,50807468
1998-08-01,10.546875,11.367188,5.718750,6.609375,4.207499,36173867
1998-09-01,7.031250,7.968750,5.343750,5.882813,3.744972,34253335
1998-10-01,5.671875,9.984375,4.851563,9.562500,6.087444,56406667
1998-11-01,9.093750,11.367188,8.742188,10.617188,6.758855,38066933
1998-12-01,10.031250,12.632813,9.750000,11.437500,7.281062,48190400
1999-01-01,11.765625,17.812500,11.718750,17.437500,11.100637,111620001
1999-02-01,17.320313,17.906250,14.812500,14.859375,9.459413,78167467
1999-03-01,14.765625,18.210938,14.132813,16.875000,10.742550,75253865
1999-04-01,17.156250,18.890625,14.343750,14.625000,9.310211,60909865
1999-05-01,15.187500,17.718750,13.640625,16.546875,10.533665,72938135
1999-06-01,16.734375,22.289063,16.312500,22.265625,14.174199,49448532
1999-07-01,22.546875,26.109375,21.140625,22.781250,14.502444,49740000
1999-08-01,22.453125,24.562500,20.062500,23.671875,15.069410,39749865
1999-09-01,23.906250,25.968750,23.027344,25.148438,16.009380,26400533
1999-10-01,24.656250,27.984375,23.578125,27.234375,17.337286,30460798
1999-11-01,27.140625,36.492188,26.835938,35.109375,22.350471,34568269
1999-12-01,36.187500,43.078125,34.031250,42.656250,27.154781,31703200
2000-01-01,43.875000,54.000000,35.226563,46.101563,29.348053,40818134
2000-02-01,46.593750,54.914063,45.984375,48.046875,30.586428,24580533
2000-03-01,51.257813,56.531250,39.984375,41.906250,26.677328,39452267
2000-04-01,40.828125,50.578125,35.859375,45.000000,28.646803,42096976
2000-05-01,44.718750,47.250000,34.101563,40.007813,25.468792,28146489
2000-06-01,41.167969,51.328125,40.781250,49.640625,31.601006,35086932
2000-07-01,47.531250,53.437500,41.343750,44.718750,28.467760,26184177
2000-08-01,44.718750,46.687500,36.070313,42.890625,27.303978,35150757
2000-09-01,45.703125,48.375000,35.437500,36.351563,23.141241,22393510
2000-10-01,34.523438,38.109375,23.414063,31.289063,19.918478,55664980
2000-11-01,29.882813,33.416016,21.726563,22.992188,14.636724,37200264
2000-12-01,24.257813,31.007813,22.921875,25.382813,16.158585,32866582
2001-01-01,24.890625,34.453125,22.078125,32.062500,20.410845,56835199
2001-02-01,32.607422,32.625000,23.414063,23.835938,15.173852,47296975
2001-03-01,23.062500,29.671875,22.289063,24.398438,15.531940,70948000
2001-04-01,23.414063,30.847500,21.304688,30.453751,19.386726,76870488
2001-05-01,30.993750,31.556250,25.650000,26.167500,16.658110,67541067
2001-06-01,26.572500,28.687500,22.162500,25.031250,15.934781,48379023
2001-07-01,25.031250,25.875000,20.295000,23.028749,14.660000,56305155
2001-08-01,24.254999,24.750000,19.946251,20.452499,13.019971,40098489
2001-09-01,18.956249,19.687500,10.698750,12.611250,8.028265,54984002
2001-10-01,12.206250,17.538750,12.093750,16.177500,10.298523,74792534
2001-11-01,16.514999,22.365000,16.245001,19.586250,12.468518,41493334
2001-12-01,19.203751,22.826250,18.135000,19.181250,12.210702,36061246
2002-01-01,19.743750,23.568750,19.282499,21.318750,13.571423,49245953
2002-02-01,21.386250,23.321251,19.530001,22.893749,14.574059,43655733
2002-03-01,23.287500,28.811251,23.253750,28.541250,18.169233,53103913
2002-04-01,28.406250,29.025000,24.221251,25.121250,15.992073,51411909
2002-05-01,25.110001,25.908751,20.126249,20.857500,13.277792,51015287
2002-06-01,21.026251,21.093750,15.131250,17.010000,10.828487,46706043
