Date,Open,High,Low,Close,Adj Close,Volume
1987-01-01,0.000000,0.316406,0.242188,0.304688,0.298201,22854400
1987-02-01,0.000000,0.367188,0.304688,0.347656,0.340254,13017600
1987-03-01,0.000000,0.406250,0.347656,0.378906,0.370838,7449600
1987-04-01,0.000000,0.378906,0.316406,0.347656,0.340254,11718400
1987-05-01,0.000000,0.394531,0.339844,0.371094,0.363193,9408000
1987-06-01,0.000000,0.378906,0.347656,0.363281,0.355546,6950400
1987-07-01,0.000000,0.375000,0.351563,0.367188,0.359370,15372800
1987-08-01,0.000000,0.410156,0.355469,0.406250,0.397600,20793600
1987-09-01,0.000000,0.398438,0.351563,0.375000,0.367016,6873600
1987-10-01,0.000000,0.367188,0.210938,0.234375,0.229385,8012800
1987-11-01,0.000000,0.238281,0.183594,0.183594,0.179685,13478400
1987-12-01,0.000000,0.210938,0.132813,0.210938,0.206447,14272000
1988-01-01,0.000000,0.234375,0.197266,0.222656,0.217915,7296000
1988-02-01,0.000000,0.265625,0.207031,0.261719,0.256146,11539200
1988-03-01,0.000000,0.289063,0.257813,0.281250,0.275262,10969600
1988-04-01,0.000000,0.339844,0.273438,0.320313,0.313493,10489600
1988-05-01,0.000000,0.343750,0.320313,0.343750,0.336431,12678400
1988-06-01,0.000000,0.406250,0.339844,0.378906,0.370838,22982400
1988-07-01,0.000000,0.382813,0.312500,0.347656,0.340254,17568000
1988-08-01,0.000000,0.355469,0.296875,0.312500,0.305846,12697600
1988-09-01,0.000000,0.332031,0.269531,0.289063,0.282908,17324800
1988-10-01,0.000000,0.289063,0.234375,0.253906,0.248500,18803200
1988-11-01,0.000000,0.265625,0.222656,0.234375,0.229385,10656000
1988-12-01,0.000000,0.257813,0.199219,0.250000,0.244677,26438400
1989-01-01,0.000000,0.248047,0.214844,0.214844,0.210270,21657600
1989-02-01,0.000000,0.218750,0.148438,0.175781,0.172038,27936000
1989-03-01,0.000000,0.175781,0.148438,0.171875,0.168215,25862400
1989-04-01,0.000000,0.175781,0.152344,0.160156,0.156746,8089600
1989-05-01,0.000000,0.175781,0.152344,0.167969,0.164393,15513600
1989-06-01,0.000000,0.175781,0.152344,0.152344,0.149100,20742400
1989-07-01,0.000000,0.222656,0.152344,0.218750,0.214092,22220800
1989-08-01,0.000000,0.226563,0.207031,0.226563,0.221739,4192000
1989-09-01,0.226563,0.226563,0.195313,0.199219,0.194977,3040000
1989-10-01,0.000000,0.222656,0.189453,0.203125,0.198800,15916800
1989-11-01,0.000000,0.210938,0.195313,0.203125,0.198800,17568000
