Date,Open,High,Low,Close,Adj Close,Volume
1996-07-01,3.916667,4.083333,2.208333,2.666667,2.666667,34977000
1996-08-01,2.666667,4.687500,2.604167,4.083333,4.083333,17124000
1996-09-01,4.020833,5.958333,3.916667,5.625000,5.625000,15073800
1996-10-01,5.645833,6.041667,4.458333,4.583333,4.583333,16300800
1996-11-01,4.562500,5.187500,3.583333,3.791667,3.791667,28861200
1996-12-01,3.791667,3.791667,2.604167,3.625000,3.625000,20786400
1997-01-01,3.604167,4.708333,3.083333,4.458333,4.458333,30360600
1997-02-01,4.437500,4.770833,2.833333,2.979167,2.979167,19778400
1997-03-01,2.979167,3.645833,2.708333,3.416667,3.416667,18685800
1997-04-01,3.416667,3.937500,2.937500,3.937500,3.937500,19178400
1997-05-01,4.395833,5.354167,3.500000,4.666667,4.666667,61524600
1997-06-01,4.750000,4.833333,3.666667,3.895833,3.895833,25141200
1997-07-01,3.916667,5.510417,3.625000,4.500000,4.500000,43624800
1997-08-01,4.541667,4.583333,3.666667,4.291667,4.291667,88795800
1997-09-01,4.354167,5.229167,4.187500,5.166667,5.166667,39858600
1997-10-01,5.252604,7.416667,4.854167,7.104167,7.104167,121888200
1997-11-01,7.166667,8.416667,6.833333,7.520833,7.520833,72338400
1997-12-01,7.583333,8.104167,5.666667,6.791667,6.791667,66652800
1998-01-01,6.750000,7.270833,4.958333,5.083333,5.083333,120608400
1998-02-01,5.541667,7.125000,5.333333,6.427083,6.427083,98096400
1998-03-01,6.562500,7.645833,5.708333,7.614583,7.614583,79552200
1998-04-01,7.583333,7.958333,4.791667,4.895833,4.895833,168790200
1998-05-01,5.000000,5.583333,4.125000,4.666667,4.666667,187596000
1998-06-01,4.583333,5.875000,4.250000,5.458333,5.458333,112566000
1998-07-01,5.500000,5.593750,3.677083,3.916667,3.916667,171670800
1998-08-01,3.937500,4.666667,2.968750,3.020833,3.020833,91309200
1998-09-01,3.104167,4.062500,2.812500,3.312500,3.312500,69534600
1998-10-01,3.250000,4.020833,1.812500,3.791667,3.791667,95476200
1998-11-01,3.833333,5.531250,3.812500,5.406250,5.406250,112702800
1998-12-01,5.281250,7.687500,5.041667,7.635417,7.635417,136108800
1999-01-01,7.666667,9.333333,6.229167,8.083333,8.083333,147511200
1999-02-01,8.208333,8.229167,5.833333,6.395833,6.395833,82226400
1999-03-01,6.333333,7.500000,5.729167,7.166667,7.166667,66846000
1999-04-01,7.104167,7.104167,3.833333,5.875000,5.875000,157410600
1999-05-01,5.854167,7.916667,5.541667,7.375000,7.375000,112014600
1999-06-01,7.416667,9.427083,7.114583,8.937500,8.937500,96316800
1999-07-01,8.958333,11.520833,8.687500,11.406250,11.406250,94716000
1999-08-01,11.562500,13.333333,9.604167,12.854167,12.854167,74417400
1999-09-01,12.958333,16.083332,12.875000,14.072917,14.072917,74885400
1999-10-01,13.833333,19.479168,13.500000,19.281250,19.281250,73726200
1999-11-01,19.291668,24.479168,18.937500,23.604168,23.604168,80881800
1999-12-01,23.833332,37.250000,23.437500,33.125000,33.125000,78479400
2000-01-01,34.166668,47.333332,29.083332,36.723957,36.723957,67904400
2000-02-01,38.291668,69.500000,36.833332,67.979164,67.979164,82091700
2000-03-01,68.333336,98.333336,51.666668,57.020832,57.020832,108891600
2000-04-01,56.666668,66.666664,38.645832,57.666668,57.666668,126645000
2000-05-01,59.750000,65.041664,48.354168,62.625000,62.625000,99493200
2000-06-01,63.666668,81.833336,63.562500,70.583336,70.583336,107079300
2000-07-01,70.687500,88.062500,68.416664,77.333336,77.333336,107053800
2000-08-01,76.958336,99.750000,70.583336,97.208336,97.208336,64506900
2000-09-01,99.833336,108.916664,90.333336,105.000000,105.000000,69051600
2000-10-01,107.583336,118.583336,80.000000,105.583336,105.583336,111215100
2000-11-01,103.083336,115.250000,60.666668,68.416664,68.416664,115165500
2000-12-01,70.250000,112.833336,66.250000,89.041664,89.041664,161941650
2001-01-01,88.541664,113.333336,66.666664,101.666664,101.666664,228487050
2001-02-01,101.375000,105.458336,63.437500,64.125000,64.125000,187143350
2001-03-01,63.312500,73.312500,42.562500,47.500000,47.500000,357928900
2001-04-01,46.812500,80.160004,39.500000,62.730000,62.730000,304813700
2001-05-01,63.560001,71.250000,49.450001,53.860001,53.860001,239646500
2001-06-01,54.689999,56.000000,41.700001,50.570000,50.570000,256332200
2001-07-01,50.849998,52.700001,35.009998,44.240002,44.240002,197198600
2001-08-01,45.430000,46.849998,30.799999,31.990000,31.990000,172425100
2001-09-01,31.950001,33.299999,19.559999,22.020000,22.020000,165627200
2001-10-01,21.200001,34.250000,20.200001,29.520000,29.520000,243178600
2001-11-01,30.000000,43.000000,28.400000,38.349998,38.349998,210876200
2001-12-01,37.610001,44.950001,36.660000,39.889999,39.889999,138979700
2002-01-01,40.590000,49.470001,32.070000,36.500000,36.500000,233452700
2002-02-01,35.799999,36.369999,27.030001,27.920000,27.920000,136281200
2002-03-01,28.459999,38.490002,28.059999,30.400000,30.400000,142825800
2002-04-01,29.799999,29.799999,16.240000,18.150000,18.150000,232279100
2002-05-01,17.980000,20.680000,15.730000,16.260000,16.260000,135655000
2002-06-01,16.049999,17.709999,12.000000,13.560000,13.560000,124755900
2002-07-01,13.160000,18.010000,10.370000,16.780001,16.780001,136132400
2002-08-01,16.750000,19.030001,14.730000,16.750000,16.750000,118297200
2002-09-01,16.299999,18.750000,13.570000,13.740000,13.740000,91399200
2002-10-01,14.000000,17.340000,12.620000,13.790000,13.790000,128513000
2002-11-01,13.730000,17.799999,13.560000,17.049999,17.049999,90372000
2002-12-01,17.500000,18.000000,12.830000,12.970000,12.970000,72300300
2003-01-01,13.800000,16.000000,13.350000,14.330000,14.330000,92106400
2003-02-01,14.500000,15.600000,13.550000,14.870000,14.870000,51760800
2003-03-01,14.760000,16.370001,14.090000,14.470000,14.470000,62454100
2003-04-01,14.730000,16.270000,14.250000,15.780000,15.780000,62072100
2003-05-01,15.670000,19.320000,15.380000,18.780001,18.780001,95668600
2003-06-01,18.820000,22.200001,18.100000,19.500000,19.500000,106545500
2003-07-01,19.260000,21.500000,16.650000,17.639999,17.639999,98136100
2003-08-01,17.690001,17.840000,15.730000,17.430000,17.430000,63601400
2003-09-01,17.600000,20.570000,16.480000,16.840000,16.840000,88189000
2003-10-01,17.200001,18.500000,16.010000,16.980000,16.980000,71002000
2003-11-01,17.260000,18.540001,16.299999,17.650000,17.650000,54204200
2003-12-01,17.690001,18.200001,16.480000,16.860001,16.860001,56885400
2004-01-01,17.100000,21.770000,16.820000,20.430000,20.430000,105997600
2004-02-01,20.639999,24.120001,19.620001,23.020000,23.020000,94054200
2004-03-01,23.330000,23.850000,20.500000,22.750000,22.750000,66804600
2004-04-01,22.910000,25.680000,21.299999,23.510000,23.510000,93384700
2004-05-01,23.600000,24.400000,22.100000,23.780001,23.780001,57070400
2004-06-01,23.650000,27.090000,23.389999,26.990000,26.990000,56516200
2004-07-01,27.120001,27.160000,17.700001,19.889999,19.889999,106055400
2004-08-01,19.389999,19.820000,16.459999,17.540001,17.540001,75303600
2004-09-01,17.690001,19.650000,16.639999,16.969999,16.969999,49011900
2004-10-01,17.240000,22.990000,16.900000,22.620001,22.620001,89742900
2004-11-01,22.600000,24.750000,22.030001,23.740000,23.740000,58752200
2004-12-01,23.760000,26.209999,23.709999,24.629999,24.629999,59033600
2005-01-01,25.000000,25.420000,22.200001,24.280001,24.280001,77491100
2005-02-01,24.049999,25.309999,21.650000,22.129999,22.129999,58568600
2005-03-01,22.320000,22.900000,20.120001,21.740000,21.740000,62128000
2005-04-01,21.850000,23.469999,20.110001,20.950001,20.950001,57838700
2005-05-01,21.100000,23.090000,21.000000,22.719999,22.719999,38308000
2005-06-01,22.770000,22.950001,19.570000,19.830000,19.830000,48076000
2005-07-01,19.969999,23.950001,19.959999,22.530001,22.530001,55175300
2005-08-01,22.530001,22.870001,21.750000,22.559999,22.559999,36020000
2005-09-01,22.450001,24.320000,22.100000,24.320000,24.320000,35144300
2005-10-01,24.250000,24.500000,20.490000,22.360001,22.360001,55207800
2005-11-01,22.299999,22.750000,21.110001,21.290001,21.290001,32590700
2005-12-01,21.360001,22.030001,19.940001,20.059999,20.059999,49846300
2006-01-01,20.180000,22.469999,19.980000,21.559999,21.559999,53371900
2006-02-01,21.320000,22.240000,20.440001,21.260000,21.260000,43860600
2006-03-01,21.270000,21.709999,19.299999,20.020000,20.020000,50647800
2006-04-01,20.010000,20.080000,18.139999,19.370001,19.370001,68397100
2006-05-01,19.209999,20.500000,18.150000,19.299999,19.299999,47765800
2006-06-01,19.209999,19.389999,17.500000,17.600000,17.600000,44588100
2006-07-01,17.700001,18.160000,16.270000,16.799999,16.799999,43431800
2006-08-01,16.700001,18.700001,16.299999,18.590000,18.590000,43781400
2006-09-01,18.690001,20.290001,18.309999,19.080000,19.080000,39054700
2006-10-01,19.100000,21.500000,18.530001,20.719999,20.719999,42776500
2006-11-01,20.809999,23.209999,20.379999,22.900000,22.900000,37161800
2006-12-01,22.790001,22.799999,21.260000,21.920000,21.920000,34962300
2007-01-01,22.000000,24.430000,21.459999,23.860001,23.860001,57268500
2007-02-01,23.860001,25.030001,22.020000,22.580000,22.580000,37651200
