Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.979167,2.281250,1.864583,2.270833,0.953650,143374800
1985-02-01,2.270833,2.281250,2.083333,2.125000,0.892407,95571600
1985-03-01,2.135417,2.229167,1.895833,1.937500,0.821845,110364000
1985-04-01,1.937500,2.041667,1.906250,1.958333,0.830681,96440400
1985-05-01,1.979167,2.239583,1.937500,2.239583,0.949981,102963600
1985-06-01,2.125000,2.187500,2.020833,2.177083,0.934254,84214800
1985-07-01,2.197917,2.406250,2.166667,2.333333,1.001306,137470800
1985-08-01,2.322917,2.385417,2.145833,2.208333,0.947665,88388400
1985-09-01,2.208333,2.239583,1.958333,2.010417,0.872232,81601200
1985-10-01,1.989583,2.208333,1.979167,2.145833,0.930984,97155600
1985-11-01,2.156250,2.395833,2.145833,2.333333,1.012332,113079600
1985-12-01,2.333333,2.656250,2.312500,2.520833,1.105024,122703600
1986-01-01,2.531250,2.875000,2.479167,2.802083,1.228311,139740000
1986-02-01,2.802083,3.031250,2.791667,3.000000,1.315070,106717200
1986-03-01,3.031250,3.114583,2.875000,3.083333,1.362576,66802800
1986-04-01,3.104167,3.125000,2.645833,2.791667,1.233684,119289600
1986-05-01,2.812500,2.843750,2.531250,2.822917,1.247494,84168000
1986-06-01,2.833333,2.833333,2.635417,2.729167,1.217317,56618400
1986-07-01,2.708333,2.718750,2.135417,2.250000,1.003589,134014800
1986-08-01,2.250000,2.604167,2.197917,2.552083,1.138330,99130800
1986-09-01,2.520833,2.635417,2.260417,2.291667,1.032027,100182000
1986-10-01,2.302083,2.500000,2.281250,2.427083,1.093010,76712400
1986-11-01,2.406250,2.479167,2.281250,2.427083,1.093010,65736000
1986-12-01,2.427083,2.666667,2.333333,2.427083,1.104659,107083200
1987-01-01,2.427083,2.833333,2.427083,2.718750,1.237409,118851600
1987-02-01,2.729167,2.916667,2.718750,2.739583,1.246891,75048000
1987-03-01,2.739583,2.968750,2.489583,2.645833,1.214430,83958000
1987-04-01,2.625000,2.833333,2.458333,2.593750,1.190524,115298400
1987-05-01,2.583333,2.895833,2.541667,2.739583,1.257461,100276800
1987-06-01,2.750000,3.031250,2.718750,2.906250,1.345832,109286400
1987-07-01,2.927083,3.208333,2.802083,3.156250,1.461603,112814400
1987-08-01,3.125000,3.479167,3.031250,3.281250,1.519488,124340400
