Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.451389,1.527778,1.416667,1.527778,1.102243,1974600
1985-02-01,0.000000,1.722222,1.506944,1.694444,1.222487,2242800
1985-03-01,0.000000,1.791667,1.708333,1.750000,1.262569,1468800
1985-04-01,0.000000,1.847222,1.736111,1.805556,1.302652,3146400
1985-05-01,0.000000,1.916667,1.805556,1.888889,1.362774,2718000
1985-06-01,0.000000,2.138889,1.888889,2.097222,1.513079,3868200
1985-07-01,0.000000,2.486111,2.097222,2.277778,1.643345,6476400
1985-08-01,0.000000,2.305556,2.236111,2.236111,1.613283,2061000
1985-09-01,0.000000,2.263889,2.000000,2.069444,1.493038,4420800
1985-10-01,0.000000,2.083333,2.000000,2.013889,1.452957,1873800
1985-11-01,0.000000,2.236111,2.027778,2.236111,1.613283,4285800
1985-12-01,0.000000,2.416667,2.194444,2.361111,1.703467,3470400
1986-01-01,0.000000,2.569444,2.361111,2.527778,1.823712,1920600
1986-02-01,0.000000,2.777778,2.527778,2.777778,2.004079,4168800
1986-03-01,0.000000,2.888889,2.750000,2.791667,2.014099,3796200
1986-04-01,0.000000,2.791667,2.541667,2.736111,1.974017,4390200
1986-05-01,0.000000,2.986111,2.708333,2.986111,2.154384,1265400
1986-06-01,0.000000,3.319444,2.958333,3.263889,2.354792,2300400
1986-07-01,0.000000,3.291667,2.888889,2.916667,2.104283,2964600
1986-08-01,0.000000,2.986111,2.875000,2.888889,2.084242,621000
1986-09-01,0.000000,2.930556,2.402778,2.597222,1.873813,3045600
1986-10-01,0.000000,2.722222,2.597222,2.694444,1.943956,9678600
1986-11-01,0.000000,2.708333,2.597222,2.611111,1.883834,1665000
1986-12-01,0.000000,2.736111,2.611111,2.694444,1.943956,1701000
1987-01-01,0.000000,3.131944,2.694444,3.097222,2.234548,6753600
1987-02-01,0.000000,3.638889,3.097222,3.527778,2.545180,2260800
1987-03-01,0.000000,3.819444,3.527778,3.611111,2.605302,3263400
1987-04-01,0.000000,3.722222,3.333333,3.444444,2.488530,2488500
1987-05-01,0.000000,3.666667,3.333333,3.444444,2.488530,5702400
1987-06-01,0.000000,3.777778,3.361111,3.750000,2.709287,4974300
1987-07-01,0.000000,4.333333,3.694444,4.027778,2.909975,2368800
1987-08-01,0.000000,4.500000,3.944444,4.250000,3.070524,1897200
1987-09-01,0.000000,4.222222,3.722222,3.972222,2.869837,3319200
1987-10-01,0.000000,4.027778,2.555556,3.027778,2.187498,4961700
1987-11-01,0.000000,3.111111,2.527778,2.527778,1.826260,4003200
1987-12-01,0.000000,3.111111,2.555556,2.888889,2.087154,3710700
1988-01-01,0.000000,3.166667,2.722222,3.041667,2.197532,4361400
1988-02-01,0.000000,3.666667,3.083333,3.666667,2.649081,1795500
1988-03-01,0.000000,3.722222,3.444444,3.722222,2.689217,15016500
