Date,Open,High,Low,Close,Adj Close,Volume
1998-10-01,0.747492,1.592531,0.442796,1.457720,1.406937,2173600913
1998-11-01,1.523481,4.105727,1.380997,3.465646,3.344911,3246952265
1998-12-01,3.280417,5.458228,2.810220,4.230675,4.083289,1903672109
1999-01-01,4.145184,5.629209,2.911055,4.868564,4.698956,1645404710
1999-02-01,4.892677,5.894448,3.367003,5.857183,5.653132,1600612359
1999-03-01,5.730043,9.331597,5.370546,7.223932,6.972268,1906593638
1999-04-01,7.575758,12.310606,7.003630,10.949337,10.567890,1803863000
1999-05-01,10.525174,10.857271,7.967040,9.321733,8.996987,1011484108
1999-06-01,9.154040,9.831387,6.664957,7.963752,7.686314,1874110868
1999-07-01,8.059107,8.256392,5.129419,5.139283,4.960242,1572404488
1999-08-01,5.096538,7.023359,3.697456,6.605771,6.375642,3640343730
1999-09-01,6.605771,8.470118,6.168455,7.421217,7.162679,2442183958
1999-10-01,7.457386,8.279409,6.549874,7.108849,6.861194,1829018187
1999-11-01,7.128577,9.785354,6.641940,8.683844,8.381320,1401433227
1999-12-01,8.262968,9.568340,6.576178,6.586043,6.356600,1308537332
2000-01-01,6.845802,8.351747,6.175032,7.894702,7.619669,1449555779
2000-02-01,7.812500,9.206650,6.977325,7.542877,7.280101,851917653
2000-03-01,7.782907,13.415404,7.575758,9.259259,8.936687,1536758784
2000-04-01,9.423664,9.877420,6.612347,8.374763,8.083006,1632192249
2000-05-01,8.384628,8.391204,5.760732,6.582755,6.353427,1108852591
2000-06-01,6.747159,8.345170,5.109691,5.714699,5.515612,834713508
2000-07-01,5.681818,6.602483,4.577020,5.260943,5.077664,780265094
2000-08-01,5.267519,7.200915,4.840067,6.523569,6.296304,706202324
2000-09-01,6.628788,8.161037,6.299979,7.227220,6.975441,791465556
2000-10-01,7.365320,7.391625,4.774306,5.418771,5.229994,1056665176
2000-11-01,5.379314,6.201336,3.077652,3.610322,3.484547,953401361
2000-12-01,3.676084,4.721696,2.814604,3.472222,3.351258,809527909
2001-01-01,3.544560,5.800189,2.992161,5.195181,5.014194,1306063442
2001-02-01,5.188605,5.583176,3.879945,4.032841,3.892347,760840820
2001-03-01,3.958859,4.715120,3.281513,3.807607,3.674959,1154356792
2001-04-01,3.814184,5.922769,3.077652,5.311448,5.126410,1303638972
2001-05-01,5.326178,6.997054,5.076810,6.367845,6.146005,1326027543
2001-06-01,6.439394,7.502104,6.243687,7.206439,6.955384,1107106705
2001-07-01,7.219066,7.386364,6.230008,6.583544,6.354189,1110995741
2001-08-01,6.634049,6.954966,5.523990,5.916456,5.710341,1520805370
2001-09-01,5.876473,5.968013,4.259259,4.813763,4.646063,1359704968
2001-10-01,4.661195,6.679293,4.629630,5.521886,5.329516,2366698433
2001-11-01,5.551347,7.206439,5.393519,7.162247,6.912732,1409680800
2001-12-01,7.090699,7.653620,6.656145,7.039141,6.793914,1186688446
2002-01-01,6.880261,7.312710,5.797559,6.210017,5.993674,1256872636
2002-02-01,6.215278,6.389941,5.139941,5.476641,5.285849,1183868611
2002-03-01,5.507155,6.407828,5.495581,5.959596,5.751977,1016301688
2002-04-01,5.882786,6.005892,5.213594,5.587121,5.392478,1339062276
2002-05-01,5.566077,6.178451,5.182029,5.809133,5.606756,1076605515
2002-06-01,5.834386,6.744529,5.566077,6.483586,6.257713,1306716365
2002-07-01,6.422559,6.573022,5.371423,6.006944,5.797677,2646042857
2002-08-01,5.919613,6.522517,5.545034,5.946970,5.739792,1438478869
2002-09-01,5.904882,6.360480,5.515572,5.556608,5.363029,1175055552
2002-10-01,5.589226,6.781355,5.284091,6.654040,6.422229,1969487310
2002-11-01,6.588805,7.417929,6.497264,7.251684,6.999053,1051223184
2002-12-01,7.347433,7.454756,6.954966,7.135943,6.887343,969391844
2003-01-01,7.176978,8.041877,6.739268,7.908249,7.632744,1541023228
2003-02-01,7.921928,8.291246,7.536827,8.251263,7.963807,846134466
2003-03-01,8.259680,9.515993,8.087121,8.976221,8.663509,1376673409
2003-04-01,9.049874,9.995791,8.997264,9.775884,9.435315,1462145730
2003-05-01,9.720118,10.888047,9.694865,10.695497,10.322891,1298641766
2003-06-01,10.726010,11.128998,10.123106,10.942761,10.561542,1315032367
2003-07-01,10.888047,12.401094,10.801768,11.289983,10.896667,1435564944
2003-08-01,11.268939,12.012837,10.494529,11.660354,11.254134,1279627588
2003-09-01,11.862374,12.047559,10.612374,11.287879,10.894636,997258043
2003-10-01,11.264731,12.962963,11.037458,11.769781,11.359751,1162962662
2003-11-01,11.734007,12.325337,10.654461,11.761364,11.351626,736585185
2003-12-01,11.847643,13.636364,11.475168,13.596380,13.122714,736110460
2004-01-01,13.543771,14.663300,13.171296,14.084596,13.593921,850152757
2004-02-01,14.036195,14.730640,13.594276,14.457071,13.953422,509190102
2004-03-01,14.417088,15.159933,13.634259,14.579125,14.071224,766759911
2004-04-01,14.534933,17.834597,14.532828,16.841330,16.254618,912118839
2004-05-01,16.727694,18.895203,16.172138,18.686869,18.035862,818360451
2004-06-01,18.470118,19.808502,17.729378,19.349747,18.675648,811680567
2004-07-01,19.364477,19.398148,15.035774,16.483585,15.909339,1072724083
2004-08-01,16.296295,18.280724,15.271465,18.211279,17.576843,944625845
2004-09-01,18.171295,20.178871,18.063972,19.347643,18.673616,1049515788
2004-10-01,19.486532,21.489899,19.031986,20.545034,19.829294,1109107769
2004-11-01,20.414562,23.876263,20.408249,23.632154,22.808867,921655153
2004-12-01,23.792088,24.920034,23.425926,24.482323,23.629416,756746494
2005-01-01,24.661196,24.783249,16.708754,17.150673,16.553183,2123498679
2005-02-01,17.001263,18.287037,15.765993,18.030302,17.402170,1481406298
2005-03-01,18.034512,18.127104,14.730640,15.681818,15.135501,1003956466
2005-04-01,15.883838,16.308924,12.954545,13.345960,12.881018,1360824775
2005-05-01,13.253367,16.287880,13.207071,15.993266,15.436098,926774957
2005-06-01,16.123737,17.230640,13.817340,13.893098,13.409095,983217315
2005-07-01,14.053030,18.228113,13.783670,17.584175,16.971586,1052659237
2005-08-01,18.068182,18.930977,16.245790,17.041246,16.447569,823203215
2005-09-01,16.978113,17.420034,15.256734,17.340067,16.735979,929582914
2005-10-01,17.319023,17.727274,15.664983,16.670876,16.090103,886810398
