Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,7.437500,8.000000,7.250000,8.000000,1.184018,9702400
1985-02-01,7.937500,8.187500,7.500000,7.687500,1.137767,10269000
1985-03-01,7.687500,7.937500,7.500000,7.937500,1.216252,9430600
1985-04-01,7.937500,8.000000,7.500000,7.875000,1.206675,17815400
1985-05-01,7.875000,8.000000,6.937500,7.187500,1.101330,24496200
1985-06-01,7.187500,8.062500,7.187500,7.687500,1.220220,17820000
1985-07-01,7.687500,8.625000,7.625000,7.812500,1.240061,27065200
1985-08-01,7.812500,8.250000,7.375000,7.500000,1.190459,18620400
1985-09-01,7.500000,7.812500,7.000000,7.000000,1.150331,14635000
1985-10-01,7.062500,7.937500,7.000000,7.875000,1.294122,14189600
1985-11-01,7.875000,7.937500,7.437500,7.875000,1.294122,20438600
1985-12-01,7.875000,8.812500,7.500000,8.687500,1.479301,20849400
1986-01-01,8.687500,9.750000,8.437500,9.500000,1.617654,18296800
1986-02-01,9.562500,10.250000,9.437500,9.687500,1.649580,16873800
1986-03-01,9.562500,10.250000,9.125000,10.062500,1.761577,17024000
1986-04-01,10.125000,10.125000,8.625000,8.750000,1.531807,31640400
1986-05-01,8.750000,9.437500,8.625000,8.750000,1.531807,48464200
1986-06-01,8.812500,10.187500,8.562500,10.125000,1.827597,42741000
1986-07-01,10.062500,11.500000,9.937500,11.375000,2.053226,29946200
1986-08-01,11.437500,12.562500,11.187500,11.687500,2.109634,52364600
1986-09-01,11.687500,11.875000,10.125000,10.812500,1.997715,21592200
1986-10-01,10.812500,11.937500,10.812500,11.937500,2.205568,15106200
1986-11-01,11.937500,12.062500,11.312500,11.750000,2.170926,31652200
1986-12-01,11.812500,11.875000,11.187500,11.312500,2.139644,16710600
1987-01-01,11.312500,13.000000,11.250000,12.500000,2.364247,18683800
1987-02-01,12.562500,12.812500,11.437500,11.750000,2.222393,25552000
1987-03-01,11.812500,11.875000,10.375000,10.937500,2.115014,18079000
1987-04-01,10.500000,11.250000,9.562500,10.437500,2.018329,24250800
1987-05-01,10.437500,11.375000,9.937500,10.062500,1.945815,19448200
1987-06-01,10.187500,10.937500,10.000000,10.562500,2.095489,11714200
1987-07-01,10.687500,11.125000,10.562500,11.062500,2.194684,12382600
1987-08-01,10.937500,11.687500,10.500000,10.625000,2.107890,66685600
1987-09-01,10.687500,10.875000,9.875000,10.125000,2.058741,12766000
1987-10-01,10.187500,10.312500,8.375000,9.812500,1.995199,29355800
1987-11-01,9.812500,10.250000,9.500000,9.562500,1.944367,59102000
1987-12-01,9.687500,9.687500,9.062500,9.250000,1.933004,11876400
1988-01-01,9.250000,10.625000,9.250000,10.562500,2.207282,12318200
1988-02-01,10.625000,10.625000,9.250000,9.375000,1.959125,105069800
1988-03-01,9.375000,9.750000,9.000000,9.250000,1.988739,17126600
1988-04-01,9.250000,9.562500,8.437500,8.750000,1.881241,16829200
1988-05-01,8.750000,9.187500,8.437500,8.750000,1.881241,143577800
1988-06-01,8.812500,9.500000,8.750000,9.375000,2.079144,12015600
1988-07-01,9.375000,9.500000,9.000000,9.312500,2.065284,9461800
1988-08-01,9.375000,9.500000,8.562500,8.937500,1.982116,141726800
1988-09-01,8.937500,9.500000,8.812500,9.312500,2.128565,14692400
1988-10-01,9.250000,10.125000,9.250000,9.937500,2.271419,19842600
1988-11-01,9.937500,10.125000,9.562500,9.812500,2.242849,28834800
1988-12-01,9.812500,10.125000,9.625000,10.000000,2.349523,11873800
1989-01-01,9.937500,10.250000,9.812500,10.125000,2.378890,9505200
1989-02-01,10.062500,10.562500,9.625000,9.750000,2.290783,38700400
1989-03-01,9.750000,10.062500,9.562500,9.875000,2.383324,8648000
1989-04-01,9.937500,10.625000,9.875000,10.500000,2.534168,9482800
1989-05-01,10.437500,10.937500,10.312500,10.375000,2.503999,15586000
1989-06-01,10.437500,11.437500,10.375000,11.250000,2.785620,13338800
1989-07-01,11.312500,11.937500,11.187500,11.937500,2.955853,11835600
1989-08-01,12.000000,12.250000,10.812500,10.875000,2.692765,24859200
1989-09-01,10.812500,11.312500,10.625000,11.250000,2.851660,19950400
1989-10-01,11.187500,11.500000,10.562500,11.437500,2.899187,15792800
1989-11-01,11.500000,11.562500,10.875000,11.062500,2.804132,20431000
1989-12-01,11.125000,12.000000,11.062500,11.562500,3.002675,16225800
1990-01-01,11.562500,11.750000,10.437500,10.750000,2.791676,22567200
1990-02-01,10.812500,11.000000,9.875000,10.062500,2.613138,18267600
1990-03-01,10.000000,10.125000,8.687500,9.000000,2.399318,31053800
1990-04-01,8.875000,9.000000,7.500000,7.625000,2.032755,32901200
1990-05-01,7.562500,8.562500,7.562500,8.250000,2.199374,20917800
1990-06-01,8.250000,8.437500,8.000000,8.312500,2.255844,12977400
1990-07-01,8.312500,8.312500,7.625000,8.250000,2.238884,13345400
1990-08-01,8.250000,8.312500,7.250000,7.562500,2.052310,13912600
1990-09-01,7.500000,7.687500,7.312500,7.312500,2.022688,11750400
1990-10-01,7.437500,8.437500,7.375000,8.312500,2.299296,15049200
1990-11-01,8.312500,8.562500,7.937500,8.375000,2.316584,14801000
1990-12-01,8.375000,9.062500,8.312500,9.000000,2.534185,18814800
1991-01-01,9.000000,9.500000,8.750000,9.375000,2.639776,12788200
1991-02-01,9.375000,9.875000,9.312500,9.625000,2.710170,20110000
1991-03-01,9.562500,9.937500,9.312500,9.875000,2.824294,11629000
1991-04-01,9.812500,10.500000,9.750000,10.125000,2.895795,17879800
1991-05-01,10.125000,10.375000,9.937500,10.125000,2.895795,18148000
1991-06-01,10.062500,10.250000,9.812500,10.062500,2.920399,10126600
1991-07-01,10.125000,10.562500,10.000000,10.437500,3.029234,14074200
1991-08-01,10.437500,10.750000,9.937500,10.625000,3.083652,15343800
1991-09-01,10.625000,11.437500,10.625000,11.312500,3.331053,13275400
1991-10-01,11.312500,11.875000,11.062500,11.875000,3.496685,14579000
1991-11-01,11.875000,12.187500,11.375000,12.125000,3.570299,16970400
1991-12-01,11.937500,13.000000,11.750000,12.937500,3.863259,13559800
1992-01-01,12.875000,12.937500,11.312500,12.187500,3.639305,24632000
1992-02-01,12.125000,12.437500,11.750000,12.250000,3.657967,14386800
1992-03-01,12.187500,12.312500,11.875000,12.312500,3.726574,15324200
1992-04-01,12.250000,13.125000,12.187500,13.125000,3.972487,18604400
1992-05-01,13.062500,13.250000,12.625000,12.750000,3.858990,14312000
1992-06-01,12.750000,13.312500,12.562500,13.187500,4.041202,13002000
1992-07-01,13.187500,13.375000,12.625000,13.000000,3.983745,25663800
1992-08-01,13.000000,13.187500,12.625000,12.875000,3.945440,18818800
1992-09-01,12.875000,13.312500,12.500000,13.187500,4.092356,14925600
1992-10-01,13.125000,13.187500,12.750000,13.187500,4.092356,10814400
1992-11-01,13.187500,13.375000,12.750000,13.000000,4.034172,16832000
1992-12-01,13.000000,13.375000,12.625000,13.062500,4.108344,21761800
1993-01-01,13.125000,13.875000,12.750000,13.875000,4.363887,14091000
1993-02-01,13.812500,15.187500,13.812500,14.750000,4.639087,21446000
1993-03-01,14.687500,15.062500,14.375000,15.000000,4.775858,18077400
1993-04-01,14.937500,15.562500,14.562500,14.875000,4.736058,12737600
1993-05-01,14.812500,15.062500,13.875000,14.875000,4.736058,17646000
