Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,0.218750,0.153646,0.213542,0.168182,8654400
1985-02-01,0.000000,0.263021,0.210938,0.244792,0.192794,14620800
1985-03-01,0.000000,0.250000,0.213542,0.213542,0.168182,6523200
1985-04-01,0.000000,0.221354,0.190104,0.195313,0.153825,7680000
1985-05-01,0.000000,0.221354,0.184896,0.203125,0.159977,7718400
1985-06-01,0.000000,0.221354,0.187500,0.210938,0.166131,9748800
1985-07-01,0.000000,0.239583,0.218750,0.234375,0.184589,6403200
1985-08-01,0.000000,0.239583,0.218750,0.229167,0.180488,9849600
1985-09-01,0.000000,0.239583,0.218750,0.218750,0.172283,8692800
1985-10-01,0.000000,0.229167,0.208333,0.210938,0.166131,3388800
1985-11-01,0.000000,0.242188,0.210938,0.239583,0.188691,10036800
1985-12-01,0.000000,0.265625,0.229167,0.263021,0.207150,10176000
1986-01-01,0.000000,0.278646,0.244792,0.273438,0.215355,18859200
1986-02-01,0.000000,0.315104,0.276042,0.304688,0.239966,12052800
1986-03-01,0.000000,0.330729,0.304688,0.322917,0.254323,15523200
1986-04-01,0.000000,0.341146,0.317708,0.330729,0.260476,7843200
1986-05-01,0.000000,0.382813,0.317708,0.369792,0.291241,43473600
1986-06-01,0.000000,0.427083,0.361979,0.427083,0.336362,17088000
1986-07-01,0.000000,0.427083,0.385417,0.411458,0.324056,11760000
1986-08-01,0.000000,0.442708,0.359375,0.375000,0.295343,18192000
1986-09-01,0.000000,0.380208,0.317708,0.351563,0.276884,21108800
1986-10-01,0.000000,0.425781,0.343750,0.390625,0.307649,18995200
1986-11-01,0.000000,0.417969,0.390625,0.414063,0.326108,11059200
1986-12-01,0.000000,0.414063,0.378906,0.406250,0.319955,37347200
1987-01-01,0.000000,0.523438,0.402344,0.500000,0.393791,29907200
1987-02-01,0.000000,0.523438,0.476563,0.507813,0.399944,9382400
1987-03-01,0.000000,0.507813,0.476563,0.492188,0.387638,10518400
1987-04-01,0.000000,0.492188,0.429688,0.449219,0.353796,23619200
1987-05-01,0.000000,0.531250,0.445313,0.515625,0.406097,13916800
1987-06-01,0.000000,0.546875,0.500000,0.546875,0.430708,24748800
1987-07-01,0.000000,0.578125,0.535156,0.554688,0.436862,6652800
1987-08-01,0.000000,0.617188,0.546875,0.609375,0.479932,13235200
1987-09-01,0.000000,0.617188,0.507813,0.570313,0.449168,5635200
1987-10-01,0.000000,0.601563,0.375000,0.421875,0.332261,28313600
1987-11-01,0.000000,0.437500,0.371094,0.382813,0.301496,14131200
1987-12-01,0.000000,0.460938,0.363281,0.453125,0.356873,15376000
1988-01-01,0.000000,0.507813,0.453125,0.468750,0.369179,4982400
1988-02-01,0.000000,0.484375,0.414063,0.484375,0.381485,11952000
1988-03-01,0.000000,0.601563,0.484375,0.523438,0.412250,17843200
1988-04-01,0.000000,0.539063,0.507813,0.523438,0.412250,12467200
1988-05-01,0.000000,0.531250,0.441406,0.468750,0.369179,25059200
1988-06-01,0.000000,0.546875,0.445313,0.539063,0.424556,28643200
1988-07-01,0.000000,0.539063,0.492188,0.507813,0.399944,11123200
1988-08-01,0.000000,0.531250,0.476563,0.500000,0.393791,18531200
1988-09-01,0.000000,0.539063,0.500000,0.523438,0.412250,5417600
1988-10-01,0.000000,0.554688,0.468750,0.484375,0.381485,17174400
1988-11-01,0.000000,0.500000,0.476563,0.500000,0.393791,29971200
1988-12-01,0.000000,0.539063,0.484375,0.492188,0.387638,9792000
1989-01-01,0.000000,0.515625,0.488281,0.507813,0.399944,12444800
1989-02-01,0.000000,0.554688,0.503906,0.546875,0.430708,13382400
1989-03-01,0.000000,0.546875,0.507813,0.523438,0.412250,25555200
1989-04-01,0.000000,0.632813,0.523438,0.632813,0.498392,14057600
1989-05-01,0.000000,0.742188,0.617188,0.718750,0.566074,29049600
1989-06-01,0.000000,0.734375,0.617188,0.625000,0.492238,26409600
1989-07-01,0.000000,0.726563,0.617188,0.703125,0.553768,13155200
1989-08-01,0.000000,0.882813,0.679688,0.843750,0.664521,17961600
1989-09-01,0.000000,0.851563,0.789063,0.835938,0.658369,11193600
1989-10-01,0.000000,0.851563,0.757813,0.851563,0.670675,14236800
1989-11-01,0.000000,0.890625,0.828125,0.859375,0.676828,14352000
1989-12-01,0.000000,0.867188,0.804688,0.820313,0.646063,10086400
1990-01-01,0.000000,0.859375,0.781250,0.812500,0.639910,12835200
1990-02-01,0.000000,0.835938,0.765625,0.816406,0.642986,6764800
1990-03-01,0.000000,0.835938,0.750000,0.765625,0.602992,11372800
1990-04-01,0.773438,0.781250,0.734375,0.734375,0.578380,24486400
1990-05-01,0.750000,0.804688,0.734375,0.781250,0.615297,15568000
1990-06-01,0.781250,0.843750,0.757813,0.804688,0.633757,14028800
1990-07-01,0.804688,0.882813,0.750000,0.777344,0.612221,11958400
1990-08-01,0.789063,0.789063,0.503906,0.507813,0.399944,26236800
1990-09-01,0.523438,0.601563,0.468750,0.492188,0.387638,8387200
1990-10-01,0.515625,0.546875,0.468750,0.484375,0.381485,6204800
1990-11-01,0.484375,0.515625,0.437500,0.507813,0.399944,8489600
1990-12-01,0.515625,0.585938,0.515625,0.574219,0.452244,10739200
1991-01-01,0.562500,0.687500,0.515625,0.687500,0.541462,10528000
1991-02-01,0.695313,0.773438,0.671875,0.773438,0.609145,14057600
1991-03-01,0.789063,0.804688,0.750000,0.804688,0.633757,26291200
1991-04-01,0.804688,0.921875,0.742188,0.781250,0.615297,10220800
1991-05-01,0.742188,0.859375,0.742188,0.843750,0.664521,16153600
1991-06-01,0.812500,0.890625,0.812500,0.859375,0.676828,9724800
1991-07-01,0.859375,0.933594,0.859375,0.914063,0.719899,5411200
1991-08-01,0.914063,0.992188,0.906250,0.992188,0.781428,9286400
1991-09-01,0.968750,1.000000,0.796875,0.828125,0.652216,14515200
1991-10-01,0.828125,0.828125,0.781250,0.820313,0.646063,14940800
1991-11-01,0.820313,0.843750,0.789063,0.843750,0.664521,14985600
1991-12-01,0.804688,0.968750,0.804688,0.968750,0.762969,9033600
1992-01-01,0.929688,1.093750,0.929688,1.000000,0.787581,19616000
1992-02-01,1.019531,1.117188,1.000000,1.054688,0.830652,3657600
1992-03-01,1.054688,1.093750,1.023438,1.054688,0.830652,6032000
1992-04-01,1.023438,1.062500,0.894531,0.894531,0.704515,6262400
1992-05-01,0.875000,1.078125,0.875000,1.015625,0.799887,11004800
1992-06-01,1.015625,1.054688,0.960938,1.015625,0.799887,8646400
1992-07-01,0.992188,1.062500,0.976563,1.046875,0.824499,7628800
1992-08-01,1.062500,1.062500,0.976563,0.976563,0.769122,12752000
1992-09-01,0.976563,1.000000,0.937500,0.968750,0.762969,14441600
1992-10-01,0.945313,1.000000,0.937500,0.968750,0.762969,2931200
1992-11-01,0.992188,0.992188,0.921875,0.945313,0.744510,6544000
1992-12-01,0.937500,0.968750,0.921875,0.968750,0.762969,12121600
1993-01-01,0.968750,1.101563,0.937500,1.062500,0.836805,5398400
1993-02-01,1.062500,1.093750,0.898438,0.914063,0.719899,6153600
1993-03-01,0.929688,0.953125,0.867188,0.906250,0.713745,11225600
1993-04-01,0.914063,0.914063,0.773438,0.781250,0.615297,18096000
1993-05-01,0.804688,0.898438,0.781250,0.863281,0.679904,12188800
1993-06-01,0.875000,0.898438,0.796875,0.828125,0.654734,8240000
1993-07-01,0.812500,0.828125,0.796875,0.796875,0.630027,6220800
1993-08-01,0.796875,0.855469,0.773438,0.828125,0.654734,9945600
1993-09-01,0.828125,0.929688,0.796875,0.898438,0.710325,9129600
1993-10-01,0.898438,1.007813,0.859375,0.976563,0.772092,7603200
1993-11-01,0.976563,0.984375,0.828125,0.859375,0.679441,12697600
1993-12-01,0.859375,0.984375,0.828125,0.937500,0.743964,19438400
1994-01-01,0.937500,1.007813,0.937500,1.007813,0.799761,14585600
1994-02-01,1.000000,1.187500,0.968750,1.187500,0.942353,24985600
1994-03-01,1.203125,1.203125,1.046875,1.109375,0.880357,12228800
1994-04-01,1.093750,1.125000,0.968750,0.992188,0.787362,8768000
1994-05-01,1.015625,1.171875,0.968750,1.093750,0.867957,21894400
1994-06-01,1.078125,1.218750,1.023438,1.078125,0.858119,14465600
1994-07-01,1.078125,1.132813,1.031250,1.125000,0.895429,14819200
1994-08-01,1.093750,1.343750,1.093750,1.265625,1.007357,12513600
1994-09-01,1.265625,1.375000,1.234375,1.250000,0.994920,10974400
1994-10-01,1.281250,1.343750,1.140625,1.296875,1.032230,17996800
1994-11-01,1.281250,1.453125,1.281250,1.359375,1.081977,12302400
1994-12-01,1.375000,1.390625,1.117188,1.359375,1.084591,15860800
1995-01-01,1.359375,1.453125,1.296875,1.343750,1.072124,7494400
1995-02-01,1.343750,1.421875,1.234375,1.375000,1.097057,5990400
1995-03-01,1.375000,1.406250,1.296875,1.312500,1.047191,10592000
1995-04-01,1.335938,1.484375,1.312500,1.437500,1.146923,16100800
1995-05-01,1.437500,1.562500,1.328125,1.390625,1.109524,17913600
1995-06-01,1.375000,1.437500,1.343750,1.406250,1.124925,11032000
1995-07-01,1.421875,1.593750,1.312500,1.531250,1.224918,21435200
1995-08-01,1.515625,1.593750,1.453125,1.453125,1.162422,12420800
1995-09-01,1.453125,1.765625,1.453125,1.687500,1.349909,20028800
1995-10-01,1.679688,1.734375,1.640625,1.640625,1.312412,6188800
1995-11-01,1.703125,1.765625,1.515625,1.593750,1.274915,11928000
1995-12-01,1.570313,1.671875,1.421875,1.632813,1.309305,17220800
1996-01-01,1.632813,1.671875,1.437500,1.484375,1.190277,13972800
1996-02-01,1.500000,1.875000,1.468750,1.828125,1.465920,15931200
1996-03-01,1.828125,1.828125,1.593750,1.640625,1.315569,19073600
1996-04-01,1.640625,1.890625,1.625000,1.859375,1.490979,21009600
1996-05-01,1.832031,1.937500,1.804688,1.929688,1.547360,16584000
