Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,0.000000,6.125000,3.937500,5.937500,3.277667,7241200
1985-02-01,0.000000,6.000000,5.125000,5.250000,2.898147,3844800
1985-03-01,0.000000,5.375000,4.375000,4.687500,2.587633,5998000
1985-04-01,0.000000,4.687500,3.937500,4.343750,2.397872,7692000
1985-05-01,0.000000,4.937500,4.250000,4.250000,2.346120,6646400
1985-06-01,0.000000,4.812500,3.875000,4.687500,2.587633,10240800
1985-07-01,0.000000,5.375000,4.187500,5.062500,2.794643,8580000
1985-08-01,0.000000,5.062500,4.625000,4.687500,2.587633,3153200
1985-09-01,0.000000,4.750000,4.000000,4.343750,2.397872,5304800
1985-10-01,0.000000,4.937500,4.062500,4.906250,2.708389,10790400
1985-11-01,0.000000,5.312500,4.375000,5.187500,2.863646,7698000
1985-12-01,0.000000,5.812500,5.062500,5.750000,3.174162,6656400
1986-01-01,0.000000,5.750000,4.812500,5.625000,3.105158,7083600
1986-02-01,0.000000,6.250000,5.187500,5.312500,2.932649,5035200
1986-03-01,0.000000,5.812500,5.062500,5.437500,3.001653,10988400
1986-04-01,0.000000,6.562500,4.937500,6.000000,3.312168,8299600
1986-05-01,0.000000,6.312500,5.375000,5.562500,3.070657,10186800
1986-06-01,0.000000,6.062500,4.437500,4.500000,2.484126,9466400
1986-07-01,0.000000,4.625000,3.937500,4.187500,2.311618,6780400
1986-08-01,0.000000,4.562500,3.937500,4.500000,2.484126,5188000
1986-09-01,0.000000,4.500000,3.187500,3.406250,1.880346,9032000
1986-10-01,0.000000,3.875000,2.750000,3.718750,2.052854,7576400
1986-11-01,0.000000,3.812500,3.250000,3.750000,2.070105,3427600
1986-12-01,0.000000,3.937500,3.187500,3.406250,1.880346,6400000
1987-01-01,0.000000,5.718750,3.375000,5.687500,3.139660,17662000
1987-02-01,0.000000,6.125000,5.312500,5.375000,2.967151,9574800
1987-03-01,0.000000,6.062500,5.156250,5.312500,2.932649,8745600
1987-04-01,0.000000,5.875000,4.687500,5.375000,2.967151,4333200
1987-05-01,0.000000,6.125000,4.875000,5.000000,2.760141,9676000
1987-06-01,0.000000,5.875000,4.906250,5.125000,2.829144,12656400
1987-07-01,0.000000,5.437500,4.812500,5.250000,2.898147,7167600
1987-08-01,0.000000,6.281250,5.125000,5.937500,3.277667,9933200
1987-09-01,0.000000,5.968750,4.750000,4.937500,2.725639,5728800
1987-10-01,0.000000,5.500000,2.437500,3.000000,1.656084,15578400
1987-11-01,0.000000,3.500000,2.718750,3.062500,1.690586,14842400
1987-12-01,0.000000,3.906250,2.906250,3.437500,1.897597,8899200
1988-01-01,0.000000,4.062500,3.218750,3.343750,1.845844,5773600
1988-02-01,0.000000,4.250000,3.312500,4.218750,2.328868,8837600
1988-03-01,0.000000,5.062500,4.250000,4.562500,2.518629,10318800
1988-04-01,0.000000,5.250000,4.343750,4.937500,2.725639,6079200
1988-05-01,0.000000,5.250000,4.375000,4.625000,2.553130,5402800
1988-06-01,0.000000,5.187500,4.375000,4.687500,2.587633,10463200
1988-07-01,0.000000,5.156250,3.937500,4.000000,2.208113,6889200
1988-08-01,0.000000,4.125000,3.312500,3.687500,2.035604,10202400
1988-09-01,0.000000,3.718750,2.875000,3.468750,1.914847,8352400
1988-10-01,0.000000,3.625000,2.937500,3.062500,1.690586,4364000
1988-11-01,0.000000,3.125000,2.375000,2.875000,1.587081,7020400
1988-12-01,0.000000,3.187500,2.562500,2.937500,1.621583,11216400
1989-01-01,0.000000,3.156250,2.656250,3.000000,1.656084,17250000
1989-02-01,0.000000,3.437500,2.750000,3.375000,1.863096,9026000
1989-03-01,0.000000,3.437500,2.375000,2.687500,1.483576,15292400
1989-04-01,0.000000,2.937500,2.500000,2.750000,1.518077,10538000
1989-05-01,0.000000,3.187500,2.531250,3.187500,1.759589,18302000
1989-06-01,0.000000,3.437500,2.750000,2.906250,1.604332,11886400
1989-07-01,0.000000,2.937500,2.500000,2.562500,1.414572,7623600
1989-08-01,0.000000,3.000000,2.500000,3.000000,1.656084,11912000
1989-09-01,0.000000,3.250000,2.937500,3.062500,1.690586,4077600
1989-10-01,0.000000,3.125000,2.062500,2.125000,1.173060,10996000
1989-11-01,0.000000,2.250000,1.875000,2.062500,1.138558,4241600
1989-12-01,0.000000,2.312500,2.000000,2.187500,1.207562,8216800
1990-01-01,0.000000,2.250000,1.781250,1.843750,1.017802,5451600
1990-02-01,0.000000,1.937500,1.718750,1.812500,1.000551,6514800
1990-03-01,0.000000,2.343750,1.781250,2.156250,1.190311,5710400
1990-04-01,2.156250,2.687500,2.125000,2.312500,1.276565,13962800
1990-05-01,2.281250,3.000000,2.250000,2.968750,1.638834,11444000
1990-06-01,3.000000,3.000000,2.750000,3.000000,1.656084,6997600
1990-07-01,2.906250,3.125000,2.656250,2.812500,1.552579,5888000
1990-08-01,2.843750,2.875000,1.781250,1.906250,1.052304,7782400
1990-09-01,1.906250,2.000000,1.750000,1.906250,1.052304,5346800
1990-10-01,1.937500,2.125000,1.437500,1.781250,0.983301,14755200
1990-11-01,1.781250,1.875000,1.593750,1.625000,0.897046,3926400
1990-12-01,1.656250,2.406250,1.625000,2.187500,1.207562,6972800
1991-01-01,2.250000,2.718750,2.000000,2.718750,1.500826,6586000
1991-02-01,2.718750,3.343750,2.656250,3.000000,1.656084,18855600
1991-03-01,2.937500,3.125000,2.500000,2.687500,1.483576,13366800
1991-04-01,2.656250,3.625000,2.625000,3.000000,1.656084,14504000
1991-05-01,3.000000,3.437500,2.906250,3.156250,1.742338,6576800
1991-06-01,3.156250,3.562500,2.781250,3.125000,1.725088,5248000
1991-07-01,3.125000,3.125000,2.500000,2.812500,1.552579,5192400
1991-08-01,2.750000,3.312500,2.500000,2.750000,1.518077,4942000
1991-09-01,2.718750,2.812500,2.031250,2.187500,1.207562,13632000
1991-10-01,2.218750,2.750000,2.125000,2.500000,1.380070,8911200
1991-11-01,2.437500,2.625000,2.312500,2.375000,1.311067,5897600
1991-12-01,2.312500,2.781250,2.062500,2.781250,1.535328,5399200
1992-01-01,2.781250,3.250000,2.437500,3.156250,1.742338,13554400
1992-02-01,3.125000,3.437500,2.812500,3.031250,1.673335,11677200
1992-03-01,2.968750,3.062500,2.687500,2.750000,1.518077,3999200
1992-04-01,2.750000,2.750000,2.093750,2.125000,1.173060,5960400
1992-05-01,2.125000,2.375000,2.062500,2.187500,1.207562,8232000
1992-06-01,2.125000,2.375000,1.968750,2.187500,1.207562,11368400
1992-07-01,2.187500,2.250000,1.500000,2.062500,1.138558,6468000
1992-08-01,1.906250,2.062500,1.812500,1.875000,1.035053,5310400
1992-09-01,1.875000,2.375000,1.875000,2.125000,1.173060,7375200
1992-10-01,2.062500,2.312500,1.937500,2.312500,1.276565,10920400
1992-11-01,2.250000,2.875000,2.218750,2.750000,1.518077,20387200
1992-12-01,2.843750,3.062500,2.687500,3.062500,1.690586,9102400
1993-01-01,2.937500,3.187500,2.750000,3.125000,1.725088,10810800
1993-02-01,3.093750,3.375000,2.562500,3.218750,1.776840,15690000
1993-03-01,3.312500,3.781250,3.187500,3.562500,1.966601,16858400
1993-04-01,3.437500,3.562500,2.750000,3.062500,1.690586,7044800
1993-05-01,3.062500,4.625000,3.062500,4.500000,2.484126,25338800
1993-06-01,4.375000,4.875000,4.062500,4.312500,2.380622,15434800
1993-07-01,4.281250,5.187500,4.125000,5.000000,2.760141,15054000
1993-08-01,5.125000,6.062500,4.687500,5.500000,3.036154,28739200
1993-09-01,5.375000,6.687500,5.000000,6.500000,3.588183,18033200
1993-10-01,6.437500,6.437500,4.562500,5.500000,3.036154,42020400
1993-11-01,5.437500,6.250000,4.750000,5.937500,3.277667,32422000
1993-12-01,5.937500,7.062500,5.250000,6.937500,3.829695,22276400
1994-01-01,6.875000,8.812500,6.125000,8.625000,4.761243,43575600
1994-02-01,8.625000,9.812500,7.937500,9.812500,5.416778,27744000
1994-03-01,9.687500,10.937500,8.500000,8.937500,4.933753,42316000
1994-04-01,8.812500,10.562500,8.437500,10.531250,5.813547,36113600
1994-05-01,10.562500,11.250000,7.500000,10.000000,5.520281,36138000
1994-06-01,9.937500,10.562500,7.750000,9.375000,5.175265,44475600
1994-07-01,9.375000,11.062500,9.000000,10.000000,5.520281,38274800
1994-08-01,10.000000,12.375000,9.437500,11.875000,6.555335,31769200
1994-09-01,11.750000,13.062500,11.250000,12.375000,6.831347,38592000
1994-10-01,12.437500,13.312500,11.062500,13.187500,7.279868,55182400
1994-11-01,13.187500,13.500000,11.625000,12.375000,6.831347,27563200
1994-12-01,12.250000,12.906250,11.062500,12.250000,6.762344,37798000
1995-01-01,12.125000,14.312500,11.625000,12.500000,6.900351,34299200
1995-02-01,12.625000,14.937500,12.375000,14.500000,8.004407,26311200
1995-03-01,14.562500,16.562500,14.312500,15.812500,8.728946,39177600
1995-04-01,15.625000,16.562500,14.500000,15.500000,8.556436,46870800
1995-05-01,15.375000,20.125000,15.125000,17.437500,9.625990,63560000
1995-06-01,17.500000,19.812500,17.250000,19.312500,10.661042,44356000
1995-07-01,19.250000,23.625000,19.000000,21.687500,11.972104,47718000
1995-08-01,21.750000,23.812500,19.218750,21.375000,11.799604,61135600
1995-09-01,21.406250,24.375000,19.125000,20.062500,11.075064,60440000
1995-10-01,20.500000,23.250000,17.375000,21.375000,11.799604,54812400
1995-11-01,21.375000,23.625000,15.250000,17.250000,9.522487,43003800
1995-12-01,17.375000,18.375000,13.000000,13.031250,7.193618,53859400
1996-01-01,13.375000,15.625000,10.625000,14.750000,8.142416,56200600
1996-02-01,14.500000,17.625000,11.750000,12.000000,6.624337,53313400
1996-03-01,12.062500,13.375000,10.625000,11.312500,6.244821,52249600
1996-04-01,11.375000,16.125000,10.812500,14.437500,7.969905,49282600
1996-05-01,14.437500,15.875000,12.375000,13.500000,7.452383,33858600
1996-06-01,13.312500,13.375000,10.250000,11.625000,6.417326,45648600
1996-07-01,11.625000,11.625000,9.000000,9.437500,5.209765,33700600
1996-08-01,9.562500,11.625000,9.000000,9.875000,5.451278,29697200
1996-09-01,9.500000,12.375000,8.750000,11.250000,6.210316,29766400
1996-10-01,11.250000,12.812500,10.187500,12.125000,6.693341,39950800
1996-11-01,12.250000,20.000000,12.125000,17.750000,9.798501,58764000
1996-12-01,17.812500,19.187500,16.750000,17.750000,9.798501,33894200
1997-01-01,17.687500,22.250000,16.812500,21.312500,11.765100,78988000
1997-02-01,21.312500,24.875000,18.312500,20.843750,11.506338,80313400
1997-03-01,20.500000,21.187500,16.875000,18.250000,10.074514,52818800
1997-04-01,18.062500,23.125000,17.687500,22.250000,12.282627,72629000
1997-05-01,22.375000,26.562500,21.562500,23.781250,13.127921,62171400
1997-06-01,24.187500,26.000000,20.187500,24.375000,13.455685,72553000
1997-07-01,24.187500,32.187500,24.125000,30.281250,16.716101,82204400
1997-08-01,30.312500,38.437500,29.750000,35.437500,19.562500,86603200
1997-09-01,35.625000,37.750000,33.500000,33.781250,18.648197,112582600
1997-10-01,34.125000,37.000000,20.062500,21.968750,12.127368,224029000
1997-11-01,22.875000,27.750000,18.062500,19.375000,10.695541,151944400
1997-12-01,19.875000,22.125000,16.750000,19.312500,10.661042,151425800
1998-01-01,19.250000,21.875000,16.687500,18.750000,10.350531,120642600
1998-02-01,19.250000,24.000000,19.000000,23.078125,12.739771,121609600
1998-03-01,23.312500,23.312500,17.875000,19.125000,10.557538,98716800
1998-04-01,18.625000,21.625000,18.250000,20.156250,11.126817,82387800
1998-05-01,20.187500,21.187500,16.875000,16.875000,9.315472,40117000
1998-06-01,16.812500,17.312500,12.125000,13.843750,7.642139,106090200
1998-07-01,14.000000,15.687500,12.625000,14.937500,8.245921,78660200
1998-08-01,14.750000,16.437500,10.625000,10.625000,5.865298,85167200
1998-09-01,10.937500,14.187500,10.687500,12.437500,6.865850,70392000
1998-10-01,12.187500,19.281250,10.375000,18.437500,10.178018,96781600
1998-11-01,17.906250,19.937500,15.375000,17.031250,9.401731,74518400
1998-12-01,16.906250,23.250000,16.218750,21.687500,11.972104,98931400
1999-01-01,22.000000,29.625000,21.593750,28.875000,15.939810,100046400
1999-02-01,28.875000,32.500000,25.000000,25.906250,14.300977,111146600
1999-03-01,26.187500,30.000000,22.937500,24.281250,13.403938,101162800
1999-04-01,24.875000,29.000000,22.593750,24.812500,13.697206,97804400
1999-05-01,24.875000,28.750000,21.562500,22.750000,12.558639,103098000
1999-06-01,22.625000,32.687500,21.187500,32.437500,17.906416,84267800
1999-07-01,33.375000,36.531250,31.000000,33.875000,18.699953,90740200
1999-08-01,34.062500,35.750000,29.906250,31.406250,17.337132,63610000
1999-09-01,31.562500,37.250000,31.437500,32.500000,17.940910,86657400
1999-10-01,32.531250,40.562500,32.531250,39.593750,21.856855,109143000
1999-11-01,39.375000,48.890625,39.125000,42.281250,23.340437,81214200
1999-12-01,43.500000,56.562500,41.156250,55.687500,30.741064,86233200
2000-01-01,56.125000,69.875000,48.312500,58.625000,32.362644,97364300
2000-02-01,58.437500,78.812500,57.250000,77.937500,43.023693,66507800
2000-03-01,78.875000,91.687500,70.375000,84.250000,46.508377,83183600
2000-04-01,84.125000,97.750000,54.625000,74.875000,41.333118,115103200
2000-05-01,76.281250,77.250000,40.000000,49.562500,27.359901,131812100
2000-06-01,51.625000,66.125000,50.437500,58.562500,32.328159,110902700
2000-07-01,58.125000,64.750000,47.562500,53.250000,29.395493,121216600
2000-08-01,53.343750,66.937500,41.000000,65.625000,36.226852,130102400
2000-09-01,65.875000,67.375000,39.750000,41.187500,22.736664,126546400
2000-10-01,41.500000,41.875000,25.500000,33.812500,18.665445,175526600
2000-11-01,31.000000,34.625000,25.562500,27.500000,15.180775,106773900
2000-12-01,27.250000,37.312500,26.812500,33.687500,18.596449,108316400
2001-01-01,33.500000,48.687500,33.500000,45.875000,25.324284,169782300
2001-02-01,45.125000,47.437500,34.812500,35.750000,19.735010,149973200
2001-03-01,33.187500,47.812500,31.875000,39.375000,21.736107,235955600
2001-04-01,39.000000,56.630001,31.750000,54.959999,30.339466,214310600
2001-05-01,54.709999,61.000000,48.250000,51.619999,28.495684,152183100
