Date,Open,High,Low,Close,Adj Close,Volume
1993-04-01,0.696845,0.932785,0.691358,0.932785,0.558148,30392467
1993-05-01,0.921811,1.075446,0.899863,1.020576,0.610679,16436671
1993-06-01,0.998628,1.349794,0.855967,1.283951,0.768274,26439922
1993-07-01,1.251029,1.360768,1.163237,1.251029,0.748574,49802095
1993-08-01,1.229081,2.106996,1.229081,2.041152,1.221357,61133483
1993-09-01,2.008230,2.348422,1.832647,2.282579,1.365820,84403393
1993-10-01,2.282579,3.116598,2.128944,2.809328,1.681009,78155633
1993-11-01,2.853224,3.336077,2.370370,2.809328,1.681009,64172504
1993-12-01,2.853224,3.423868,2.787380,3.423868,2.048729,35748340
1994-01-01,3.379973,3.665295,2.875171,3.489712,2.088129,40027797
1994-02-01,3.489712,3.906722,3.094650,3.906722,2.337652,28510735
1994-03-01,3.950617,4.126200,3.204390,3.358025,2.009331,37537804
1994-04-01,3.182442,3.851852,2.534979,3.687243,2.206324,46324533
1994-05-01,3.621399,4.148148,3.193416,4.082305,2.442716,38698512
1994-06-01,4.148148,4.773663,3.851852,4.641975,2.777603,39603688
1994-07-01,4.674897,5.234568,3.950617,4.213992,2.521513,67790927
1994-08-01,4.279835,4.938272,4.246914,4.839506,2.895799,41770942
1994-09-01,4.773663,5.333333,4.707819,5.168724,3.092793,21368813
1994-10-01,5.135802,6.255144,4.576132,6.172840,3.693624,36208518
1994-11-01,6.156379,6.222222,5.185185,5.876543,3.516330,37364291
1994-12-01,5.777778,6.123457,4.888889,5.432099,3.250387,38394510
1995-01-01,5.333333,5.975309,4.296296,4.419753,2.644634,73689247
1995-02-01,4.493827,5.580247,4.395062,4.987654,2.984447,39952241
1995-03-01,4.938272,5.827160,4.617284,5.555556,3.324260,61127159
1995-04-01,5.580247,6.271605,5.185185,5.580247,3.339035,37628552
1995-05-01,5.580247,6.123457,4.987654,5.876543,3.516330,57456343
1995-06-01,5.975309,7.753086,5.777778,7.185185,4.299376,53331415
1995-07-01,7.209877,8.345679,6.123457,7.604938,4.550541,66190670
1995-08-01,7.555556,8.000000,7.061728,7.506173,4.491446,34234148
1995-09-01,7.456790,8.098765,6.617284,7.481481,4.476671,30885809
1995-10-01,7.456790,8.493827,6.370370,7.839506,4.690901,45966997
1995-11-01,7.851852,8.888889,7.308642,8.000000,4.786935,37622984
1995-12-01,7.950617,8.000000,6.419753,7.209877,4.314150,46639298
1996-01-01,7.308642,7.308642,5.012346,6.567901,3.930015,84501230
1996-02-01,6.666667,7.604938,5.481481,5.481481,3.279936,104391791
1996-03-01,5.506173,6.172840,4.691358,5.432099,3.250387,60599649
1996-04-01,5.432099,5.580247,4.296296,5.037037,3.013997,95854391
1996-05-01,5.086420,5.876543,4.938272,5.086420,3.043545,57457353
1996-06-01,5.160494,5.160494,4.098765,4.888889,2.925350,83417346
1996-07-01,4.987654,6.370370,3.901235,6.296296,3.767495,106403121
1996-08-01,6.222222,7.456790,6.222222,7.246914,4.336313,60443721
1996-09-01,7.061728,7.876543,5.975309,7.382716,4.417573,64344378
1996-10-01,7.209877,8.024691,6.913580,7.160494,4.284602,43209452
1996-11-01,7.160494,10.074074,6.913580,9.432099,5.643856,82430159
1996-12-01,9.481481,10.592593,8.913580,10.049383,6.013217,67541853
