Date,Open,High,Low,Close,Adj Close,Volume
1989-07-01,0.000000,0.828125,0.703125,0.796875,0.315867,13872000
1989-08-01,0.000000,0.921875,0.765625,0.906250,0.359222,14096000
1989-09-01,0.000000,1.015625,0.875000,1.000000,0.396382,7081600
1989-10-01,0.000000,1.125000,0.968750,1.000000,0.396382,22526400
1989-11-01,1.000000,1.062500,0.968750,1.000000,0.396382,12424000
1989-12-01,0.000000,1.000000,0.937500,0.968750,0.383996,13372800
1990-01-01,0.000000,1.140625,0.937500,1.031250,0.408769,28099200
1990-02-01,0.000000,1.140625,1.031250,1.109375,0.439737,12515200
1990-03-01,0.000000,1.296875,1.117188,1.250000,0.495478,15686400
1990-04-01,1.234375,1.265625,1.156250,1.265625,0.501671,8009600
1990-05-01,1.250000,1.562500,1.250000,1.484375,0.588380,10428800
1990-06-01,1.500000,1.625000,1.406250,1.609375,0.637928,7251200
1990-07-01,1.625000,1.726563,1.437500,1.531250,0.606961,13041600
1990-08-01,1.531250,1.531250,1.156250,1.375000,0.545026,9592000
1990-09-01,1.375000,1.578125,1.343750,1.484375,0.588380,9694400
1990-10-01,1.531250,1.546875,1.109375,1.218750,0.483091,21174400
1990-11-01,1.234375,1.421875,1.218750,1.398438,0.554316,22776000
1990-12-01,1.406250,1.843750,1.406250,1.671875,0.662702,22499200
1991-01-01,1.671875,2.375000,1.625000,2.296875,0.910441,49756800
1991-02-01,2.328125,2.843750,2.296875,2.726563,1.080762,36019200
1991-03-01,2.718750,3.109375,2.523438,3.015625,1.195341,51763200
1991-04-01,3.015625,3.492188,2.765625,2.875000,1.139599,30465600
1991-05-01,2.875000,3.078125,2.484375,2.750000,1.090052,32339200
1991-06-01,2.812500,2.867188,2.437500,2.671875,1.059084,26931200
1991-07-01,2.703125,3.187500,2.656250,3.078125,1.220114,28216000
1991-08-01,3.062500,3.734375,3.062500,3.734375,1.480240,35520000
1991-09-01,3.734375,4.281250,3.406250,3.953125,1.566949,29628800
1991-10-01,3.953125,4.406250,3.812500,3.984375,1.579336,27484000
1991-11-01,3.968750,4.031250,3.375000,3.812500,1.511208,50822400
1991-12-01,3.750000,5.593750,3.687500,5.562500,2.204877,46056000
1992-01-01,5.562500,6.375000,5.156250,5.625000,2.229651,55105600
1992-02-01,5.531250,6.093750,5.093750,5.500000,2.180103,48535200
1992-03-01,5.437500,6.093750,5.000000,5.343750,2.118168,37671200
1992-04-01,5.250000,5.937500,4.500000,5.343750,2.118168,56232000
1992-05-01,5.343750,5.500000,4.437500,5.296875,2.099588,49217600
1992-06-01,5.281250,5.531250,4.328125,4.750000,1.882816,57383200
1992-07-01,4.687500,5.000000,2.250000,2.625000,1.040504,191046400
1992-08-01,2.656250,2.671875,1.937500,2.125000,0.842313,83214400
1992-09-01,2.156250,2.187500,1.203125,1.296875,0.514058,163478400
1992-10-01,1.312500,1.734375,0.734375,1.578125,0.625541,212548000
1992-11-01,1.593750,1.687500,1.406250,1.468750,0.582187,65480800
1992-12-01,1.468750,1.843750,1.437500,1.703125,0.675089,72801600
1993-01-01,1.687500,1.750000,1.250000,1.328125,0.526445,58541600
1993-02-01,1.328125,1.656250,1.296875,1.328125,0.526445,53650400
1993-03-01,1.312500,1.671875,1.156250,1.609375,0.637928,61392000
1993-04-01,1.625000,1.796875,1.546875,1.656250,0.656508,48385600
1993-05-01,1.656250,2.328125,1.656250,2.140625,0.848506,108444800
1993-06-01,2.109375,2.234375,1.531250,1.671875,0.662702,66336800
1993-07-01,1.687500,1.796875,1.359375,1.671875,0.662702,76442400
1993-08-01,1.671875,2.218750,1.656250,2.078125,0.823732,90255200
1993-09-01,2.078125,2.562500,1.921875,2.421875,0.959989,113245600
1993-10-01,2.421875,2.546875,2.156250,2.531250,1.003343,54377600
1993-11-01,2.515625,2.531250,2.031250,2.062500,0.817539,25532800
1993-12-01,2.062500,2.296875,1.906250,2.281250,0.904247,31970400
1994-01-01,2.250000,2.265625,1.765625,1.781250,0.706056,96080800
1994-02-01,1.765625,2.000000,1.671875,1.734375,0.687476,75071200
1994-03-01,1.843750,2.296875,1.781250,1.953125,0.774184,97796000
1994-04-01,1.890625,2.109375,1.812500,1.984375,0.786571,36892800
1994-05-01,1.968750,2.031250,1.625000,1.695313,0.671992,36757600
1994-06-01,1.703125,1.859375,1.234375,1.343750,0.532639,57898400
1994-07-01,1.343750,1.640625,1.312500,1.437500,0.569800,62346400
1994-08-01,1.468750,1.796875,1.390625,1.734375,0.687476,70029600
1994-09-01,1.687500,2.015625,1.453125,1.867188,0.740120,66109600
1994-10-01,1.843750,2.281250,1.828125,2.218750,0.879473,103434400
1994-11-01,2.203125,2.453125,2.062500,2.296875,0.910441,87768800
1994-12-01,2.265625,2.390625,1.937500,2.187500,0.867086,106704000
1995-01-01,2.156250,2.640625,2.015625,2.468750,0.978569,130550400
1995-02-01,2.484375,2.687500,2.328125,2.468750,0.978569,60688000
1995-03-01,2.484375,3.062500,2.406250,2.875000,1.139599,110141600
1995-04-01,2.859375,3.062500,2.515625,2.906250,1.151986,107813600
1995-05-01,2.906250,3.015625,2.718750,2.875000,1.139599,82523200
1995-06-01,2.890625,3.750000,2.828125,3.609375,1.430692,139768800
1995-07-01,3.609375,3.609375,2.875000,3.406250,1.350177,165114400
1995-08-01,3.406250,4.046875,3.250000,3.609375,1.430692,181366400
1995-09-01,3.609375,4.156250,3.375000,3.750000,1.486434,190583200
1995-10-01,3.734375,3.796875,3.000000,3.039063,1.204631,280960800
1995-11-01,3.093750,3.390625,2.625000,3.312500,1.313017,241629600
1995-12-01,3.328125,3.593750,2.625000,2.906250,1.151986,224172000
1996-01-01,2.859375,2.890625,1.234375,1.484375,0.588380,545283200
1996-02-01,1.515625,1.843750,1.500000,1.593750,0.631734,219228800
1996-03-01,1.625000,1.765625,1.484375,1.609375,0.637928,115231200
1996-04-01,1.578125,2.218750,1.453125,2.015625,0.798958,232700000
1996-05-01,2.015625,2.265625,1.843750,1.968750,0.780378,123028000
1996-06-01,2.000000,2.000000,1.375000,1.562500,0.619347,136310400
1996-07-01,1.578125,1.593750,1.093750,1.218750,0.483091,128252000
1996-08-01,1.218750,1.468750,1.203125,1.218750,0.483091,48156800
1996-09-01,1.203125,1.593750,1.093750,1.359375,0.538832,91772800
1996-10-01,1.375000,1.578125,1.296875,1.359375,0.538832,87844800
1996-11-01,1.359375,1.890625,1.234375,1.859375,0.737024,130246400
1996-12-01,1.890625,2.046875,1.718750,1.812500,0.718443,154172000
1997-01-01,1.812500,2.296875,1.796875,2.000000,0.792765,221984800
1997-02-01,1.984375,2.203125,1.859375,1.953125,0.774184,150334400
1997-03-01,1.953125,2.015625,1.578125,1.781250,0.706056,116974400
1997-04-01,1.734375,1.968750,1.500000,1.796875,0.712250,102706400
1997-05-01,1.812500,2.406250,1.781250,2.382813,0.944505,179119200
1997-06-01,2.375000,2.554688,2.296875,2.437500,0.966182,146140800
1997-07-01,2.437500,3.015625,2.343750,3.007813,1.192244,252766400
1997-08-01,2.968750,3.203125,2.750000,3.007813,1.192244,145640000
1997-09-01,3.000000,3.218750,2.625000,2.843750,1.127212,193480000
1997-10-01,2.859375,2.984375,2.234375,2.734375,1.083859,217080800
1997-11-01,2.750000,3.203125,2.625000,3.125000,1.238695,135078400
1997-12-01,3.156250,3.468750,2.500000,2.742188,1.086955,216942400
1998-01-01,2.765625,3.078125,2.562500,2.953125,1.170567,162019200
1998-02-01,3.000000,3.312500,2.921875,3.148438,1.247986,103233600
1998-03-01,3.187500,3.687500,2.921875,3.367188,1.334694,170945600
1998-04-01,3.375000,3.984375,3.296875,3.625000,1.436886,132521600
1998-05-01,3.656250,4.078125,2.912109,2.984375,1.182954,191270400
1998-06-01,2.945313,3.421875,2.781250,3.265625,1.294436,210704800
1998-07-01,3.281250,3.625000,2.765625,3.031250,1.201534,181952800
1998-08-01,3.031250,3.250000,2.046875,2.046875,0.811345,139556800
1998-09-01,2.187500,2.625000,1.593750,1.648438,0.653412,256318400
1998-10-01,1.593750,2.070313,1.085938,2.000000,0.792765,340116800
1998-11-01,2.046875,2.640625,1.781250,2.500000,0.990956,187159200
1998-12-01,2.453125,2.765625,2.203125,2.718750,1.077664,172167200
1999-01-01,2.687500,3.031250,2.203125,2.554688,1.012633,232322400
1999-02-01,2.625000,2.640625,2.187500,2.257813,0.894957,117567200
1999-03-01,2.257813,2.296875,1.781250,2.117188,0.839216,162419200
1999-04-01,2.164063,2.742188,1.562500,2.484375,0.984763,217696000
1999-05-01,2.500000,3.140625,2.218750,3.062500,1.213921,152871200
1999-06-01,3.062500,3.562500,2.828125,3.187500,1.263469,126879200
1999-07-01,3.210938,4.031250,3.187500,3.781250,1.498821,149395200
1999-08-01,3.781250,3.875000,3.171875,3.750000,1.486434,75508800
1999-09-01,3.804688,4.632813,3.804688,4.496094,1.782173,219923200
1999-10-01,4.468750,6.062500,4.437500,5.968750,2.365907,177745600
1999-11-01,5.960938,6.414063,5.390625,5.835938,2.313263,161002400
1999-12-01,5.804688,8.664063,5.421875,7.328125,2.904740,219244000
2000-01-01,7.468750,7.710938,5.812500,6.257813,2.480487,183269600
2000-02-01,6.359375,9.312500,6.031250,8.929688,3.539572,163696000
2000-03-01,8.968750,10.203125,7.890625,9.390625,3.722278,161908000
2000-04-01,9.421875,9.546875,6.140625,7.804688,3.093642,149243200
2000-05-01,7.804688,8.507813,6.796875,8.218750,3.257768,126254400
2000-06-01,8.328125,9.140625,6.500000,6.742188,2.672485,165817600
2000-07-01,6.703125,8.125000,5.781250,6.406250,2.539325,222928000
2000-08-01,6.265625,7.203125,5.343750,6.101563,2.418552,215478400
2000-09-01,6.218750,6.617188,4.843750,5.500000,2.180103,251162400
2000-10-01,5.625000,5.937500,3.929688,4.882813,1.935462,321878400
2000-11-01,4.804688,4.953125,3.976563,4.500000,1.783720,149790400
2000-12-01,4.437500,5.343750,3.421875,4.171875,1.653657,249801600
2001-01-01,4.265625,6.750000,3.900391,6.421875,2.545518,247781600
2001-02-01,6.414063,6.734375,5.390625,5.695313,2.257522,248208000
2001-03-01,5.687500,6.437500,4.851563,5.226563,2.071718,259581600
2001-04-01,5.242188,8.306250,4.781250,8.101250,3.211193,303094400
2001-05-01,8.050000,9.187500,7.750000,8.830000,3.500056,197854400
2001-06-01,8.845000,8.875000,4.545000,5.461250,2.164744,490355200
2001-07-01,5.313750,6.355000,4.637500,6.026250,2.388699,283047200
2001-08-01,6.096250,6.356250,4.865000,5.373750,2.130059,305504000
2001-09-01,5.327500,5.522500,3.942500,4.333750,1.717822,300808000
2001-10-01,4.273750,7.518750,4.205000,6.873750,2.724634,691668000
2001-11-01,6.882500,8.337500,6.882500,8.121250,3.219120,330192000
2001-12-01,8.106250,8.875000,7.718750,8.291250,3.286506,338490400
2002-01-01,8.313750,9.917500,8.021250,9.832500,3.897429,573608800
2002-02-01,9.777500,10.025000,7.500000,9.015000,3.573387,377491600
2002-03-01,9.022500,10.775000,8.757500,10.302500,4.083729,284985200
2002-04-01,10.215000,10.497500,8.167500,8.852500,3.508976,374694000
2002-05-01,8.800000,9.987500,7.752500,8.592500,3.405915,322344000
2002-06-01,8.650000,8.742500,7.257500,8.212500,3.255289,307278400
2002-07-01,8.087500,9.167500,7.502500,8.385000,3.323666,412162400
2002-08-01,8.402500,8.667500,7.127500,7.150000,2.834134,349834800
2002-09-01,7.072500,8.745000,6.802500,8.417500,3.336549,332443200
2002-10-01,8.437500,10.205000,7.262500,10.000000,3.963824,437280800
