Date,Open,High,Low,Close,Adj Close,Volume
1995-12-01,1.921875,2.609375,1.859375,2.507813,2.069124,47649600
1996-01-01,2.500000,2.500000,1.421875,1.921875,1.585684,52400000
1996-02-01,1.953125,2.578125,1.906250,1.984375,1.637251,45744000
1996-03-01,2.015625,2.046875,1.875000,1.984375,1.637251,12670400
1996-04-01,1.984375,2.187500,1.625000,2.000000,1.650143,23808000
1996-05-01,2.062500,2.468750,1.937500,2.140625,1.766168,45950400
1996-06-01,2.140625,2.218750,1.781250,1.859375,1.534117,21608000
1996-07-01,1.796875,1.859375,1.250000,1.500000,1.237607,7022400
1996-08-01,1.406250,1.953125,1.273438,1.750000,1.443875,52926400
1996-09-01,1.687500,2.000000,1.531250,1.875000,1.547009,53848000
1996-10-01,1.875000,2.312500,1.734375,2.187500,1.804844,47899200
1996-11-01,2.187500,2.515625,2.085938,2.250000,1.856411,42988800
1996-12-01,2.218750,3.234375,2.218750,3.179688,2.623470,95425600
1997-01-01,3.218750,3.742188,2.875000,3.203125,2.642807,59819200
1997-02-01,3.218750,3.437500,2.312500,2.500000,2.062678,59617600
1997-03-01,2.453125,2.640625,1.843750,2.031250,1.675926,32500800
1997-04-01,1.953125,2.468750,1.328125,1.820313,1.501888,52275200
1997-05-01,1.828125,2.609375,1.765625,2.535156,2.091685,49737600
1997-06-01,2.500000,2.500000,2.125000,2.375000,1.959544,28558400
1997-07-01,2.343750,2.796875,2.179688,2.726563,2.249609,32649600
1997-08-01,2.703125,2.972656,2.507813,2.953125,2.436539,44360000
1997-09-01,2.921875,3.507813,2.710938,3.390625,2.797508,47337600
1997-10-01,3.367188,3.570313,2.937500,3.140625,2.591240,33776000
1997-11-01,3.250000,3.468750,3.062500,3.148438,2.597686,21590400
1997-12-01,3.140625,4.500000,2.968750,4.437500,3.661254,61384800
1998-01-01,4.375000,4.375000,3.250000,3.765625,3.106909,33274400
1998-02-01,3.906250,4.375000,3.335938,3.687500,3.042450,44761600
1998-03-01,3.750000,4.578125,3.500000,4.437500,3.661254,47671200
1998-04-01,4.546875,4.671875,3.875000,4.507813,3.719267,18012800
1998-05-01,4.562500,5.000000,4.140625,4.347656,3.587127,30244800
1998-06-01,4.218750,4.875000,4.125000,4.867188,4.015778,38940800
1998-07-01,4.750000,6.453125,4.750000,5.218750,4.305840,42340800
1998-08-01,5.171875,6.312500,4.906250,5.210938,4.299394,31128000
1998-09-01,5.218750,7.656250,5.210938,6.328125,5.221155,65402400
1998-10-01,6.343750,6.968750,4.000000,6.843750,5.646584,96269600
1998-11-01,7.031250,9.625000,6.750000,9.390625,7.747937,81268800
1998-12-01,9.335938,12.000000,8.421875,11.210938,9.249825,77940400
1999-01-01,11.875000,14.187500,10.937500,13.250000,10.932196,62732000
1999-02-01,14.000000,14.031250,9.531250,10.500000,8.663249,82393200
1999-03-01,10.500000,14.062500,10.187500,12.656250,10.442309,79690000
1999-04-01,13.046875,16.750000,11.718750,12.578125,10.377851,93157200
1999-05-01,12.578125,13.812500,10.687500,11.789063,9.726820,57756000
1999-06-01,11.796875,15.062500,9.843750,13.968750,11.525218,140759600
1999-07-01,14.000000,16.093750,13.046875,13.625000,11.241600,60594000
1999-08-01,13.625000,16.625000,12.437500,16.421875,13.549221,81865200
1999-09-01,16.375000,19.468750,15.937500,17.906250,14.773936,58581200
1999-10-01,17.718750,20.093750,15.640625,18.500000,15.263822,57790800
1999-11-01,18.625000,35.000000,18.312500,29.421875,24.275146,111640000
1999-12-01,30.437500,45.937500,29.843750,41.531250,34.266247,104539800
2000-01-01,44.937500,60.750000,33.875000,50.187500,41.408272,113812200
2000-02-01,52.062500,103.968750,50.156250,94.375000,77.866135,110049400
2000-03-01,94.625000,124.000000,66.000000,82.750000,68.274643,150900000
2000-04-01,78.125000,83.000000,41.125000,73.937500,61.003700,134388000
2000-05-01,76.500000,77.000000,48.750000,64.562500,53.268665,119844600
2000-06-01,67.375000,90.687500,67.375000,80.500000,66.418259,113764500
2000-07-01,80.062500,113.062500,72.500000,86.187500,71.110847,104897700
2000-08-01,85.062500,119.437500,69.687500,117.000000,96.533356,131101000
2000-09-01,119.875000,148.250000,101.500000,127.375000,105.093475,146566400
2000-10-01,129.937500,152.750000,102.375000,119.000000,98.183479,176761300
2000-11-01,116.250000,123.187500,44.750000,49.375000,40.737892,253951400
2000-12-01,51.250000,89.562500,50.750000,64.187500,52.959274,225225100
2001-01-01,57.687500,74.984375,47.062500,53.625000,44.244457,259146900
2001-02-01,47.500000,48.250000,28.000000,29.750000,24.545870,319154800
2001-03-01,28.687500,32.500000,15.562500,16.812500,13.871512,232015000
2001-04-01,16.312500,24.660000,11.437500,22.750000,18.770374,256800600
2001-05-01,22.680000,29.500000,18.299999,18.600000,15.346327,250006000
2001-06-01,19.150000,20.299999,10.650000,13.700000,11.303479,186152200
2001-07-01,13.610000,14.220000,9.550000,12.480000,10.296891,145964200
2001-08-01,13.150000,16.150000,11.450000,12.960000,10.692927,204386900
2001-09-01,13.020000,13.590000,6.000000,6.800000,5.610486,116074500
2001-10-01,6.590000,14.270000,6.200000,13.300000,10.973450,248827700
2001-11-01,13.680000,18.750000,13.630000,15.430000,12.730851,295978500
2001-12-01,14.970000,24.530001,14.870000,21.870001,18.044317,232852000
2002-01-01,22.600000,27.950001,16.860001,17.950001,14.810032,266103900
2002-02-01,17.860001,19.540001,15.270000,15.990000,13.192888,214884300
2002-03-01,16.440001,22.370001,16.360001,20.379999,16.814953,219296200
2002-04-01,20.160000,21.190001,15.640000,17.450001,14.397500,183838700
2002-05-01,17.299999,18.639999,12.480000,13.010000,10.734179,224745100
2002-06-01,13.050000,14.440000,10.410000,12.440000,10.263888,134838800
2002-07-01,12.430000,12.950000,7.770000,8.460000,6.980105,186627700
2002-08-01,8.300000,10.840000,6.860000,9.540000,7.871182,166069700
2002-09-01,9.210000,9.880000,7.270000,7.330000,6.047772,106081000
2002-10-01,7.510000,10.330000,5.180000,8.970000,7.400891,185547300
2002-11-01,8.940000,14.870000,8.920000,13.870000,11.443741,198306800
2002-12-01,14.330000,14.400000,9.550000,10.000000,8.250712,123070100
2003-01-01,10.130000,13.550000,9.930000,10.810000,8.919022,152716800
2003-02-01,11.040000,11.780000,9.900000,10.620000,8.762258,109806400
2003-03-01,10.800000,12.640000,9.260000,11.190000,9.232549,143648900
2003-04-01,11.340000,15.150000,11.120000,13.260000,10.940448,163965400
2003-05-01,13.400000,17.480000,13.300000,17.030001,14.050965,160251100
2003-06-01,17.510000,18.459999,15.540000,16.080000,13.267150,111250600
2003-07-01,16.320000,19.840000,15.380000,15.980000,13.184641,135251100
2003-08-01,16.200001,22.850000,14.690000,22.360001,18.448599,165357900
2003-09-01,22.629999,24.320000,19.690001,20.530001,16.938715,126589000
2003-10-01,20.570000,26.540001,20.540001,24.690001,20.371012,136222300
2003-11-01,25.280001,26.690001,21.000000,23.120001,19.075649,122582300
2003-12-01,23.250000,23.459999,18.510000,20.440001,16.864450,119549600
2004-01-01,20.860001,24.250000,20.490000,22.379999,18.465097,113816900
2004-02-01,22.299999,24.070000,20.420000,21.660000,17.871048,133133700
2004-03-01,21.559999,22.459999,19.250000,21.530001,17.763792,105107100
2004-04-01,21.910000,22.950001,18.340000,18.610001,15.354578,71504600
2004-05-01,18.590000,21.450001,18.040001,19.799999,16.336420,116633900
2004-06-01,19.299999,21.830000,18.920000,21.530001,17.763792,73378100
2004-07-01,21.360001,21.400000,16.910000,19.290001,15.915628,96291100
2004-08-01,19.000000,20.620001,15.920000,20.070000,16.559185,110003800
2004-09-01,20.000000,23.490000,19.879999,23.049999,19.017895,78967300
2004-10-01,23.330000,25.209999,22.719999,24.469999,20.189497,68329000
2004-11-01,24.410000,30.860001,23.980000,30.160000,24.884151,114050500
2004-12-01,30.170000,34.990002,30.030001,33.220001,27.408876,143719700
2005-01-01,33.279999,33.590000,30.020000,31.840000,26.270273,102786700
2005-02-01,31.700001,34.980000,28.850000,30.010000,24.760391,119017200
2005-03-01,29.770000,31.370001,26.280001,27.660000,22.821474,116404100
2005-04-01,27.770000,29.400000,25.549999,26.670000,22.004658,100468900
2005-05-01,26.540001,30.600000,26.540001,28.760000,23.729053,95235200
2005-06-01,28.780001,30.459999,28.270000,28.270000,23.324768,79162000
2005-07-01,28.000000,29.200001,25.500000,25.510000,21.047573,97391700
2005-08-01,25.850000,26.530001,22.610001,23.730000,19.578943,195257200
2005-09-01,23.660000,24.670000,22.500000,23.740000,19.587191,89805800
2005-10-01,23.690001,27.500000,22.790001,27.330000,22.549204,89776300
2005-11-01,27.049999,29.850000,26.799999,29.120001,24.026077,90023500
2005-12-01,29.340000,30.219999,26.980000,27.000000,22.276932,87916700
2006-01-01,27.200001,34.490002,27.129999,31.200001,25.742229,116470300
2006-02-01,31.000000,34.490002,30.200001,33.160000,27.359362,75362600
2006-03-01,33.130001,36.959999,32.549999,36.029999,29.727327,82144800
2006-04-01,36.419998,38.500000,35.750000,37.070000,30.585396,64219600
2006-05-01,37.220001,37.669998,31.260000,32.000000,26.402287,112770900
2006-06-01,31.900000,35.910000,30.190001,35.299999,29.125023,89487400
2006-07-01,35.520000,35.759998,25.850000,29.650000,24.463369,128201500
2006-08-01,29.510000,34.810001,28.650000,34.240002,28.250444,81456300
2006-09-01,34.509998,37.500000,32.980000,37.009998,30.535889,76298800
2006-10-01,36.840000,39.730000,35.509998,36.500000,30.115107,69814700
2006-11-01,36.590000,41.340000,35.439999,39.279999,32.408813,78928500
2006-12-01,39.099998,41.560001,38.259998,39.279999,32.408813,62468700
2007-01-01,39.500000,40.889999,36.200001,37.599998,31.022688,97131100
2007-02-01,37.900002,40.619999,36.610001,38.669998,31.905512,88676600
2007-03-01,37.750000,38.799999,35.439999,36.520000,30.131615,105543600
2007-04-01,36.480000,38.009998,34.689999,37.209999,30.700909,98918600
2007-05-01,37.160000,39.080002,30.740000,32.160000,26.534300,155961000
2007-06-01,32.439999,33.840000,29.020000,29.190001,24.083836,191690000
2007-07-01,29.500000,32.840000,28.250000,28.340000,23.382523,192474100
2007-08-01,28.340000,29.400000,22.510000,27.860001,22.986492,282366700
2007-09-01,27.660000,28.780001,26.270000,26.910000,22.202675,123485200
2007-10-01,27.049999,32.380001,25.389999,31.490000,25.981501,220093900
2007-11-01,31.150000,32.080002,23.860001,24.709999,20.387518,212010200
2007-12-01,24.549999,27.450001,24.160000,24.959999,20.593782,96559200
2008-01-01,25.110001,25.370001,19.580000,23.219999,19.158154,170224400
2008-02-01,23.370001,24.030001,20.100000,21.620001,17.838043,151847900
2008-03-01,21.610001,23.340000,19.000000,20.049999,16.542683,182587800
2008-04-01,20.370001,24.580000,20.250000,24.200001,19.966728,166665400
2008-05-01,24.379999,27.490000,23.309999,24.379999,20.115242,181477600
2008-06-01,24.230000,24.610001,21.559999,21.660000,17.871048,201710500
2008-07-01,21.520000,25.990000,21.320000,25.549999,21.080576,176106600
2008-08-01,25.459999,26.780001,23.690001,25.480000,21.022818,178592000
2008-09-01,25.900000,25.930000,16.870001,18.230000,15.041050,200651700
2008-10-01,18.000000,18.139999,11.510000,13.530000,11.163216,265913300
2008-11-01,13.580000,14.390000,10.390000,13.500000,11.138466,197947800
2008-12-01,13.130000,14.600000,11.660000,13.970000,11.526247,162035000
2009-01-01,14.010000,16.320000,13.500000,14.830000,12.235808,176988800
