Date,Open,High,Low,Close,Adj Close,Volume
1999-02-01,1.583333,2.187500,1.442708,1.828125,1.680221,78664800
1999-03-01,1.875000,1.916667,1.520833,1.760417,1.617992,50362800
1999-04-01,1.760417,1.833333,1.333333,1.520833,1.397791,44175600
1999-05-01,1.536458,1.781250,1.375000,1.421875,1.306839,62062800
1999-06-01,1.416667,1.593750,1.364583,1.593750,1.464808,59154000
1999-07-01,1.593750,1.927083,1.427083,1.677083,1.541400,94101600
1999-08-01,1.677083,2.364583,1.625000,2.343750,2.154130,197370000
1999-09-01,2.343750,2.343750,1.395833,1.604167,1.474383,174816000
1999-10-01,1.578125,2.083333,1.510417,1.843750,1.694583,198837600
1999-11-01,1.812500,3.697917,1.812500,2.885417,2.651974,347948400
1999-12-01,2.885417,3.953125,2.885417,3.911458,3.595003,122938800
2000-01-01,3.937500,4.020833,2.916667,3.088542,2.838665,123536400
2000-02-01,3.093750,5.687500,2.979167,5.333333,4.901843,229021200
2000-03-01,5.333333,12.500000,4.791667,7.040365,6.470766,438804000
2000-04-01,6.976563,9.197917,4.750000,7.427083,6.826200,162043200
2000-05-01,7.708333,9.828125,6.291667,9.510417,8.740981,217389600
2000-06-01,9.791667,14.666667,9.531250,10.593750,9.736669,331782600
2000-07-01,10.666667,12.885417,8.333333,10.000000,9.190959,182008800
2000-08-01,10.000000,13.750000,9.000000,13.229167,12.158866,151981200
2000-09-01,13.500000,14.229167,10.416667,13.645833,12.541824,146714400
2000-10-01,13.833333,14.375000,8.760417,10.356771,9.518861,221039400
2000-11-01,10.104167,13.333333,6.062500,6.750000,6.203894,216886800
2000-12-01,7.166667,8.458333,4.583333,5.460938,5.019124,361330200
2001-01-01,5.500000,9.500000,4.708333,8.604167,7.908052,268216200
2001-02-01,8.604167,10.166667,6.833333,7.447917,6.845347,291120600
2001-03-01,7.354167,11.947917,6.666667,10.820313,9.944901,723511800
2001-04-01,10.791667,14.998333,8.968750,13.883333,12.760108,777573000
2001-05-01,13.933333,16.666668,12.591667,14.268333,13.113962,701040000
2001-06-01,14.366667,16.600000,13.825000,15.458333,14.207684,503919000
2001-07-01,14.846667,15.116667,11.210000,13.483333,12.392469,540112800
2001-08-01,13.748333,15.120000,13.375000,14.118333,12.976095,746586600
2001-09-01,14.080000,14.080000,8.503333,9.156667,8.415852,529229700
2001-10-01,9.150000,16.813334,7.553333,14.286667,13.130809,659430000
2001-11-01,14.470000,18.663334,14.250000,18.213333,16.739792,718365000
2001-12-01,17.830000,23.416668,17.616667,22.299999,20.495831,441216000
2002-01-01,22.396667,24.219999,19.920000,21.913334,20.140448,589729500
2002-02-01,21.876667,22.110001,16.416668,17.003332,15.627687,774881700
2002-03-01,17.166668,20.163334,13.956667,14.786667,13.590360,681743100
2002-04-01,13.966667,14.896667,10.123333,11.603333,10.664571,802465500
2002-05-01,11.413333,13.550000,10.236667,11.153333,10.250977,695017200
2002-06-01,10.883333,11.213333,5.476667,5.726667,5.263354,720977400
2002-07-01,5.700000,7.783333,3.646667,3.690000,3.391462,812005500
2002-08-01,3.720000,4.483333,2.830000,3.366667,3.094288,601035300
2002-09-01,3.206667,3.966667,2.783333,2.853333,2.622486,445693500
2002-10-01,2.876667,3.993333,2.400000,3.966667,3.645746,459114300
2002-11-01,3.906667,5.926667,3.406667,5.710000,5.248035,854679900
2002-12-01,6.013333,6.090000,3.730000,3.836667,3.526263,547666800
2003-01-01,4.000000,4.626667,3.186667,3.440000,3.161689,588228300
2003-02-01,3.503333,4.496667,3.110000,4.206667,3.866329,531093900
2003-03-01,4.256667,4.943333,4.000000,4.293333,3.945982,450078900
2003-04-01,4.383333,4.900000,4.286667,4.776667,4.390213,314453400
2003-05-01,4.743333,8.876667,4.716667,8.723333,8.017575,932045100
2003-06-01,8.950000,9.250000,7.353333,7.636667,7.018826,579904500
2003-07-01,7.540000,8.583333,6.120000,6.363333,5.848511,497607300
2003-08-01,6.366667,7.156667,5.086667,6.056667,5.566655,543593400
2003-09-01,6.163333,7.156667,5.233333,5.323333,4.892651,589723800
2003-10-01,5.333333,6.253333,5.316667,5.893333,5.416536,344711100
2003-11-01,5.863333,7.373333,5.803333,7.076667,6.504133,444023100
2003-12-01,7.156667,8.066667,6.500000,7.733333,7.107671,308692200
2004-01-01,7.856667,8.626667,7.050000,7.416667,6.816627,310039500
2004-02-01,7.476667,8.110000,7.296667,7.416667,6.816627,296570100
2004-03-01,7.396667,8.893333,6.876667,8.800000,8.088039,329806200
2004-04-01,8.810000,9.116667,6.813333,6.840000,6.286613,309064800
2004-05-01,6.913333,7.860000,6.633333,7.816667,7.184265,257258400
2004-06-01,7.683333,8.036667,6.426667,6.823333,6.271295,238122300
2004-07-01,6.900000,6.910000,4.613333,5.140000,4.724151,293599800
2004-08-01,5.143333,5.233333,3.100000,4.153333,3.817310,565261800
2004-09-01,4.100000,5.060000,4.046667,4.840000,4.448423,390602700
2004-10-01,4.863333,5.296667,4.360000,4.823333,4.433104,408790800
2004-11-01,4.890000,6.843333,4.826667,6.376667,5.860766,459515100
2004-12-01,6.433333,8.320000,6.386667,7.853333,7.217963,441323400
2005-01-01,8.126667,8.240000,6.820000,7.640000,7.021890,342969000
2005-02-01,7.633333,9.763333,7.586667,9.663333,8.881527,431598000
2005-03-01,9.706667,9.866667,7.823333,7.920000,7.279235,378214800
2005-04-01,8.016667,8.130000,6.973333,7.310000,6.718587,244713900
2005-05-01,7.396667,9.303333,7.173333,9.033333,8.302496,354992400
2005-06-01,8.973333,9.796667,8.590000,8.906667,8.186080,405156600
2005-07-01,8.876667,9.766667,8.473333,9.020000,8.290242,340572600
2005-08-01,9.073333,10.353333,9.013333,10.226667,9.399284,358338600
2005-09-01,10.196667,11.530000,9.946667,11.426667,10.502198,277478400
2005-10-01,11.560000,11.983333,10.170000,11.183333,10.278551,234549000
2005-11-01,11.183333,12.833333,10.946667,12.050000,11.075103,327750900
2005-12-01,12.150000,12.746667,11.806667,12.186667,11.200712,191585100
2006-01-01,12.256667,15.586667,12.216667,14.986667,13.774179,237982200
2006-02-01,14.716667,16.906668,14.290000,15.710000,14.438993,296781300
2006-03-01,15.766667,19.410000,15.420000,19.086666,17.542465,394434600
2006-04-01,19.186666,20.559999,18.486668,19.480000,17.903978,333795900
2006-05-01,19.613333,21.253332,15.226667,15.320000,14.080541,359529450
2006-06-01,15.493333,16.459999,12.746667,14.193333,13.045028,306873900
2006-07-01,14.520000,15.140000,11.446667,14.760000,13.565848,302618550
2006-08-01,14.580000,19.680000,13.900000,19.406668,17.836576,406190100
2006-09-01,19.120001,20.833332,17.559999,19.726667,18.130690,287432550
2006-10-01,19.633333,23.246668,18.446667,23.246668,21.365911,339219300
2006-11-01,22.940001,24.860001,21.013332,24.660000,22.664892,336386850
2006-12-01,24.386667,25.973333,23.266666,24.673332,22.677155,250219200
2007-01-01,24.713333,25.013332,19.940001,20.433332,18.780188,426685050
2007-02-01,20.240000,23.273333,20.200001,20.666668,18.994637,336772800
2007-03-01,20.219999,21.066668,18.693333,19.186666,17.634378,368081250
2007-04-01,19.139999,22.626667,18.853333,21.926666,20.152702,338004300
2007-05-01,22.326668,24.000000,21.466667,23.093332,21.224976,315523650
2007-06-01,23.353333,29.246668,22.946667,27.540001,25.311890,361512450
2007-07-01,27.933332,31.953333,27.846666,30.506666,28.038542,260546850
2007-08-01,30.066668,34.233334,27.000000,34.106667,31.347279,392255550
2007-09-01,34.259998,37.200001,31.830000,36.240002,33.308022,244496150
2007-10-01,36.549999,39.669998,32.560001,35.380001,32.517616,266724100
2007-11-01,34.830002,38.200001,29.110001,31.540001,28.988270,301416700
2007-12-01,32.000000,36.400002,31.350000,34.020000,31.267633,189535800
2008-01-01,34.119999,34.250000,22.330000,24.590000,22.600555,387405800
2008-02-01,24.540001,27.590000,21.160000,21.389999,19.659454,340753600
2008-03-01,21.360001,21.670000,17.309999,19.790001,18.188902,398398200
2008-04-01,20.379999,21.059999,17.610001,20.549999,18.887413,415607700
2008-05-01,20.799999,25.309999,20.700001,24.700001,22.701656,509841300
