Date,Open,High,Low,Close,Adj Close,Volume
1992-07-01,0.351563,0.464844,0.339844,0.416016,0.344869,274745600
1992-08-01,0.410156,0.433594,0.359375,0.388672,0.322201,179520000
1992-09-01,0.390625,0.515625,0.386719,0.472656,0.391823,291968000
1992-10-01,0.480469,0.515625,0.421875,0.460938,0.382109,176089600
1992-11-01,0.464844,0.593750,0.441406,0.589844,0.488969,271180800
1992-12-01,0.593750,0.593750,0.515625,0.578125,0.479254,288992000
1993-01-01,0.582031,0.660156,0.570313,0.601563,0.498684,285081600
1993-02-01,0.597656,0.625000,0.496094,0.566406,0.469539,217964800
1993-03-01,0.566406,0.628906,0.546875,0.593750,0.492207,175699200
1993-04-01,0.593750,0.628906,0.535156,0.605469,0.501922,176742400
1993-05-01,0.617188,0.761719,0.609375,0.750000,0.621735,313324800
1993-06-01,0.750000,0.777344,0.695313,0.765625,0.634688,202048000
1993-07-01,0.761719,0.843750,0.742188,0.742188,0.615259,288326400
1993-08-01,0.753906,0.781250,0.683594,0.757813,0.628212,294707200
1993-09-01,0.753906,0.882813,0.726563,0.855469,0.709167,298115200
1993-10-01,0.859375,0.875000,0.789063,0.835938,0.692976,186150400
1993-11-01,0.820313,0.851563,0.640625,0.695313,0.576401,200307200
1993-12-01,0.710938,0.773438,0.648438,0.695313,0.576401,166326400
1994-01-01,0.687500,0.765625,0.593750,0.750000,0.621735,384339200
1994-02-01,0.750000,0.781250,0.671875,0.726563,0.602307,166435200
1994-03-01,0.710938,0.796875,0.656250,0.761719,0.631450,312876800
1994-04-01,0.734375,0.960938,0.710938,0.929688,0.770693,318246400
1994-05-01,0.921875,0.945313,0.765625,0.890625,0.738311,262678400
1994-06-01,0.890625,1.015625,0.773438,0.789063,0.654118,318211200
1994-07-01,0.789063,0.960938,0.734375,0.906250,0.751264,344019200
1994-08-01,0.914063,0.929688,0.828125,0.882813,0.731835,223584000
1994-09-01,0.875000,0.929688,0.695313,0.720703,0.597449,429996800
1994-10-01,0.718750,0.875000,0.671875,0.847656,0.702690,250812800
1994-11-01,0.835938,0.914063,0.804688,0.837891,0.694595,333379200
1994-12-01,0.835938,0.875000,0.761719,0.859375,0.712405,227331200
1995-01-01,0.851563,0.855469,0.734375,0.750000,0.621735,260348800
