Date,Open,High,Low,Close,Adj Close,Volume
2001-04-01,5.500000,8.450000,4.750000,8.050000,8.050000,2627400
2001-05-01,8.050000,11.490000,7.130000,9.000000,9.000000,3657600
2001-06-01,8.990000,9.300000,6.000000,6.100000,6.100000,2208300
2001-07-01,6.140000,7.520000,6.000000,6.500000,6.500000,674200
2001-08-01,6.420000,6.670000,4.810000,5.720000,5.720000,1015500
2001-09-01,5.200000,5.920000,3.600000,5.000000,5.000000,1269800
2001-10-01,4.990000,4.990000,3.550000,4.800000,4.800000,1596100
2001-11-01,4.800000,5.500000,4.000000,4.950000,4.950000,1941600
2001-12-01,4.710000,5.850000,4.450000,5.700000,5.700000,672700
2002-01-01,5.740000,7.500000,5.310000,6.600000,6.600000,971100
2002-02-01,6.350000,6.600000,4.350000,4.800000,4.800000,701300
2002-03-01,4.800000,5.300000,4.250000,5.250000,5.250000,707600
2002-04-01,5.300000,6.690000,4.650000,5.500000,5.500000,1879000
2002-05-01,5.530000,5.800000,4.410000,4.460000,4.460000,2354200
2002-06-01,4.450000,5.560000,3.530000,5.210000,5.210000,1861900
2002-07-01,5.040000,5.150000,3.900000,3.970000,3.970000,1073400
2002-08-01,4.040000,4.200000,2.940000,3.140000,3.140000,818000
2002-09-01,3.000000,3.770000,2.620000,3.220000,3.220000,736800
2002-10-01,3.000000,3.500000,2.450000,2.850000,2.850000,886400
2002-11-01,2.860000,3.600000,2.510000,3.240000,3.240000,1491900
2002-12-01,3.240000,3.700000,2.950000,3.100000,3.100000,1462500
2003-01-01,3.110000,3.950000,3.020000,3.300000,3.300000,644300
2003-02-01,3.250000,3.280000,2.780000,2.870000,2.870000,343000
2003-03-01,2.880000,3.020000,2.250000,2.380000,2.380000,497400
2003-04-01,2.360000,2.760000,2.150000,2.550000,2.550000,1627100
2003-05-01,2.560000,5.250000,2.500000,5.130000,5.130000,2243800
2003-06-01,5.420000,5.920000,4.180000,5.160000,5.160000,2726900
2003-07-01,5.200000,7.000000,4.480000,4.790000,4.790000,2844200
2003-08-01,4.840000,6.000000,4.180000,5.810000,5.810000,2259700
2003-09-01,6.000000,6.550000,5.520000,6.070000,6.070000,2827900
2003-10-01,6.150000,6.290000,5.160000,5.900000,5.900000,1130300
2003-11-01,6.000000,6.890000,5.910000,6.220000,6.220000,3307700
2003-12-01,6.230000,9.000000,6.210000,8.580000,8.580000,4328400
2004-01-01,9.050000,10.850000,8.730000,10.330000,10.330000,6819100
2004-02-01,10.080000,10.250000,8.250000,9.890000,9.890000,9649900
2004-03-01,10.100000,10.900000,8.100000,8.230000,8.230000,5956100
2004-04-01,8.500000,9.950000,7.560000,8.300000,8.300000,4809700
2004-05-01,8.250000,8.950000,6.810000,6.900000,6.900000,3833800
2004-06-01,6.870000,7.750000,6.500000,7.030000,7.030000,6079200
2004-07-01,7.160000,7.210000,4.330000,5.980000,5.980000,5524200
2004-08-01,5.990000,6.960000,5.150000,6.370000,6.370000,4235600
2004-09-01,6.390000,7.130000,6.010000,6.570000,6.570000,4667300
2004-10-01,6.690000,6.950000,5.630000,6.060000,6.060000,2531300
2004-11-01,5.940000,7.370000,5.800000,6.830000,6.830000,4295900
2004-12-01,6.930000,7.850000,6.000000,6.530000,6.530000,4145800
2005-01-01,6.430000,6.600000,5.010000,5.920000,5.920000,2545500
2005-02-01,5.910000,6.110000,4.870000,5.000000,5.000000,3487600
2005-03-01,5.000000,5.500000,4.590000,5.140000,5.140000,4779800
2005-04-01,5.150000,5.150000,3.520000,4.000000,4.000000,4459000
2005-05-01,4.190000,5.950000,4.100000,4.830000,4.830000,7848600
2005-06-01,4.810000,5.440000,4.110000,5.360000,5.360000,3528900
2005-07-01,5.300000,6.520000,5.010000,6.020000,6.020000,3622100
2005-08-01,5.940000,6.060000,4.860000,5.870000,5.870000,2372600
2005-09-01,5.880000,6.110000,5.000000,5.250000,5.250000,1793300
2005-10-01,5.270000,5.750000,4.500000,5.490000,5.490000,2967900
2005-11-01,5.450000,5.790000,4.900000,4.970000,4.970000,1390100
2005-12-01,5.070000,5.320000,4.540000,4.720000,4.720000,1989100
2006-01-01,4.700000,5.700000,4.550000,5.630000,5.630000,3099000
2006-02-01,5.590000,5.630000,4.650000,5.280000,5.280000,2890000
2006-03-01,5.330000,5.800000,5.050000,5.160000,5.160000,5232900
2006-04-01,5.200000,5.200000,4.650000,4.910000,4.910000,3699300
2006-05-01,4.920000,4.990000,3.870000,4.150000,4.150000,4672200
2006-06-01,4.170000,4.600000,3.850000,4.600000,4.600000,10956300
2006-07-01,4.600000,4.600000,3.800000,4.060000,4.060000,4527200
2006-08-01,4.020000,4.640000,3.940000,4.620000,4.620000,3152600
2006-09-01,4.620000,4.940000,4.270000,4.860000,4.860000,2048100
2006-10-01,4.880000,5.430000,4.660000,5.300000,5.300000,2433500
2006-11-01,5.360000,5.970000,5.090000,5.500000,5.500000,2711700
