Date,Open,High,Low,Close,Adj Close,Volume
1996-09-01,2.437500,2.531250,2.187500,2.281250,2.281250,2434800
1996-10-01,2.312500,2.312500,1.843750,1.843750,1.843750,4523600
1996-11-01,1.906250,2.187500,1.875000,1.968750,1.968750,2429200
1996-12-01,1.968750,2.937500,1.750000,2.875000,2.875000,1557200
1997-01-01,2.875000,2.937500,2.375000,2.687500,2.687500,2776800
1997-02-01,2.750000,2.750000,2.250000,2.343750,2.343750,1732000
1997-03-01,2.250000,2.343750,2.000000,2.000000,2.000000,1719600
1997-04-01,2.000000,2.125000,1.812500,2.125000,2.125000,661200
1997-05-01,2.125000,2.343750,1.812500,2.093750,2.093750,2264800
1997-06-01,2.093750,2.125000,1.875000,2.000000,2.000000,1814000
1997-07-01,2.062500,2.062500,1.906250,1.906250,1.906250,1836800
1997-08-01,1.906250,2.656250,1.906250,2.500000,2.500000,3587200
1997-09-01,2.500000,2.625000,2.312500,2.375000,2.375000,1370400
1997-10-01,2.375000,2.375000,2.250000,2.343750,2.343750,4024000
1997-11-01,2.375000,3.312500,2.375000,3.312500,3.312500,4864400
1997-12-01,3.531250,4.000000,3.406250,3.656250,3.656250,4810800
1998-01-01,3.687500,3.843750,3.187500,3.562500,3.562500,4078800
1998-02-01,3.531250,3.687500,2.750000,3.250000,3.250000,7211200
1998-03-01,3.125000,4.281250,2.968750,3.718750,3.718750,10643200
1998-04-01,3.750000,4.343750,3.375000,3.625000,3.625000,3629600
1998-05-01,3.500000,3.625000,2.718750,2.781250,2.781250,4736800
1998-06-01,2.812500,3.750000,2.812500,3.625000,3.625000,10171200
1998-07-01,3.687500,4.718750,3.375000,4.375000,4.375000,5210000
1998-08-01,4.500000,4.562500,3.125000,3.843750,3.843750,6368000
1998-09-01,3.750000,4.937500,3.281250,4.937500,4.937500,4712800
1998-10-01,4.875000,5.375000,3.203125,4.843750,4.843750,9423200
1998-11-01,5.000000,5.250000,3.953125,4.468750,4.468750,8560800
1998-12-01,4.437500,4.500000,3.375000,4.031250,4.031250,6027600
1999-01-01,4.437500,4.500000,3.750000,4.156250,4.156250,5644800
1999-02-01,4.187500,4.187500,2.859375,3.171875,3.171875,26289600
1999-03-01,3.281250,4.203125,2.882813,3.359375,3.359375,13086400
1999-04-01,3.375000,3.390625,2.375000,2.937500,2.937500,24019200
1999-05-01,3.031250,3.875000,2.968750,3.281250,3.281250,10080000
1999-06-01,3.343750,3.531250,2.890625,3.390625,3.390625,9658800
1999-07-01,3.375000,3.828125,2.968750,3.609375,3.609375,9202400
1999-08-01,3.640625,4.078125,3.031250,3.984375,3.984375,12282000
1999-09-01,3.976563,3.984375,3.250000,3.671875,3.671875,9956400
1999-10-01,3.671875,4.109375,3.593750,3.906250,3.906250,5670400
1999-11-01,3.875000,4.609375,3.796875,4.359375,4.359375,7032000
1999-12-01,4.375000,4.937500,3.875000,4.703125,4.703125,7898400
2000-01-01,4.718750,4.781250,3.875000,4.046875,4.046875,7618000
2000-02-01,4.062500,4.687500,3.796875,4.617188,4.617188,9972400
2000-03-01,4.625000,6.328125,4.312500,6.250000,6.250000,14967600
2000-04-01,6.250000,6.468750,4.750000,5.250000,5.250000,11169600
2000-05-01,5.328125,6.234375,5.000000,5.062500,5.062500,13123600
2000-06-01,5.156250,6.000000,5.000000,6.000000,6.000000,8045200
2000-07-01,5.968750,6.750000,5.812500,6.250000,6.250000,6727600
2000-08-01,6.125000,6.281250,5.359375,5.625000,5.625000,7505200
2000-09-01,5.703125,6.171875,5.031250,6.125000,6.125000,16204400
2000-10-01,6.093750,8.187500,6.015625,8.093750,8.093750,8972400
2000-11-01,7.968750,8.875000,6.781250,8.234375,8.234375,17986800
2000-12-01,8.234375,10.562500,8.234375,9.531250,9.531250,16196800
2001-01-01,9.531250,9.593750,6.500000,8.109375,8.109375,20454000
2001-02-01,8.109375,10.187500,7.390625,9.812500,9.812500,10437600
2001-03-01,9.750000,11.750000,8.875000,11.156250,11.156250,27024400
2001-04-01,11.210938,12.500000,10.362500,10.475000,10.475000,18168000
2001-05-01,10.387500,12.075000,9.620000,10.707500,10.707500,20679200
2001-06-01,10.600000,12.967500,10.167500,11.737500,11.737500,15592800
2001-07-01,11.737500,13.247500,11.287500,12.310000,12.310000,7323600
2001-08-01,12.312500,12.785000,10.000000,12.042500,12.042500,16904800
2001-09-01,12.200000,12.202500,8.442500,10.420000,10.420000,13082400
2001-10-01,10.522500,12.775000,10.200000,12.000000,12.000000,15019200
2001-11-01,12.125000,14.625000,11.250000,13.845000,13.845000,41015200
2001-12-01,13.875000,15.712500,13.220000,15.220000,15.220000,17183600
2002-01-01,15.222500,15.362500,12.500000,14.250000,14.250000,32300000
2002-02-01,14.342500,16.420000,13.282500,16.127501,16.127501,30226800
2002-03-01,16.262501,16.997499,15.397500,15.640000,15.640000,14855600
2002-04-01,15.685000,17.125000,14.387500,16.882500,16.882500,23108000
2002-05-01,16.987499,18.887501,16.477501,17.190001,17.190001,22772800
2002-06-01,17.495001,20.270000,16.010000,17.705000,17.705000,21682000
2002-07-01,17.674999,18.445000,14.345000,16.504999,16.504999,29712000
2002-08-01,16.465000,17.500000,13.490000,15.520000,15.520000,30216200
2002-09-01,15.545000,17.434999,14.985000,16.959999,16.959999,14868200
2002-10-01,17.125000,18.975000,15.380000,16.650000,16.650000,22120400
2002-11-01,16.299999,19.120001,16.174999,16.655001,16.655001,24246800
2002-12-01,16.709999,16.715000,15.275000,16.184999,16.184999,18716800
2003-01-01,16.059999,18.594999,16.025000,16.945000,16.945000,18603800
2003-02-01,16.830000,18.139999,16.309999,17.715000,17.715000,13852600
2003-03-01,17.545000,19.844999,17.180000,18.795000,18.795000,19777800
2003-04-01,18.910000,21.260000,17.915001,19.625000,19.625000,22575800
2003-05-01,19.709999,21.055000,19.344999,19.780001,19.780001,34457000
2003-06-01,19.799999,20.504999,18.004999,19.180000,19.180000,26290600
2003-07-01,19.299999,23.389999,19.135000,22.584999,22.584999,22872600
2003-08-01,22.500000,24.799999,21.930000,23.955000,23.955000,13977600
2003-09-01,23.945000,24.775000,23.165001,23.625000,23.625000,8143000
2003-10-01,23.635000,26.004999,22.725000,23.120001,23.120001,13911400
2003-11-01,23.240000,24.799999,22.905001,24.660000,24.660000,13455200
2003-12-01,24.795000,24.805000,21.580000,23.350000,23.350000,14469200
2004-01-01,23.375000,24.094999,21.180000,22.100000,22.100000,19269000
2004-02-01,22.014999,24.725000,21.950001,23.120001,23.120001,12303800
2004-03-01,23.230000,24.299999,22.719999,23.980000,23.980000,10051800
2004-04-01,23.924999,25.490000,23.760000,23.879999,23.879999,9688800
2004-05-01,23.959999,24.655001,22.680000,23.014999,23.014999,10188000
2004-06-01,23.129999,26.030001,22.670000,25.870001,25.870001,11771200
2004-07-01,25.885000,26.605000,24.100000,24.500000,24.500000,10143400
2004-08-01,24.465000,24.500000,22.520000,23.590000,23.590000,11494200
2004-09-01,23.625000,24.285000,22.014999,22.950001,22.950001,14572200
2004-10-01,23.200001,23.245001,20.855000,22.665001,22.665001,14323400
2004-11-01,22.559999,23.355000,20.850000,20.895000,20.895000,22552800
2004-12-01,21.000000,23.820000,20.945000,22.975000,22.975000,15118200
2005-01-01,22.959999,25.750000,22.530001,25.715000,25.715000,18262400
2005-02-01,25.600000,25.844999,22.250000,22.990000,22.990000,20696000
2005-03-01,22.900000,23.514999,21.969999,22.100000,22.100000,11211600
2005-04-01,22.184999,24.360001,21.379999,24.334999,24.334999,15152600
2005-05-01,24.395000,25.025000,23.805000,24.825001,24.825001,11888200
2005-06-01,24.770000,27.000000,24.490000,25.160000,25.160000,13616000
2005-07-01,25.090000,29.415001,25.030001,29.059999,29.059999,14736000
2005-08-01,28.980000,29.870001,28.200001,29.065001,29.065001,11169800
2005-09-01,29.135000,29.545000,26.889999,28.575001,28.575001,11091600
2005-10-01,28.625000,29.485001,26.855000,28.780001,28.780001,11143800
2005-11-01,28.639999,31.375000,28.580000,30.660000,30.660000,11414000
2005-12-01,30.799999,31.799999,28.565001,29.440001,29.440001,11809600
2006-01-01,29.424999,30.205000,28.330000,29.885000,29.885000,9568600
2006-02-01,29.959999,30.809999,28.870001,30.225000,30.225000,8476000
2006-03-01,30.365000,33.810001,30.004999,33.810001,33.810001,10937000
2006-04-01,33.674999,34.595001,31.805000,32.919998,32.919998,7644000
2006-05-01,32.834999,33.709999,28.775000,33.334999,33.334999,14007600
2006-06-01,33.485001,34.189999,31.000000,32.549999,32.549999,10769200
2006-07-01,32.715000,34.275002,30.495001,33.590000,33.590000,13662400
2006-08-01,33.275002,33.994999,31.620001,33.345001,33.345001,8943600
2006-09-01,33.400002,35.285000,32.299999,34.895000,34.895000,6759400
2006-10-01,34.770000,36.459999,32.924999,35.355000,35.355000,10609400
2006-11-01,35.445000,37.119999,34.110001,36.209999,36.209999,7993800
2006-12-01,36.389999,38.215000,35.174999,37.750000,37.750000,8210800
2007-01-01,37.750000,38.625000,36.520000,38.500000,38.500000,9318200
2007-02-01,38.514999,40.090000,37.799999,38.904999,38.904999,7354800
2007-03-01,38.544998,41.490002,38.154999,40.750000,40.750000,9216400
2007-04-01,40.820000,43.775002,40.395000,43.570000,43.570000,7913000
2007-05-01,43.750000,45.615002,42.505001,45.584999,45.584999,13804600
2007-06-01,45.340000,45.730000,40.570000,44.459999,44.459999,9599900
2007-07-01,44.669998,51.639999,43.040001,47.939999,47.939999,12155900
2007-08-01,47.770000,56.880001,45.790001,49.900002,49.900002,16437900
2007-09-01,49.849998,57.430000,48.810001,57.160000,57.160000,7807500
2007-10-01,57.810001,58.680000,52.009998,58.330002,58.330002,14319000
2007-11-01,57.810001,61.240002,54.560001,58.849998,58.849998,10621200
2007-12-01,59.000000,62.560001,56.540001,59.400002,59.400002,11555100
2008-01-01,59.490002,62.650002,53.209999,59.259998,59.259998,16069700
2008-02-01,59.680000,60.299999,52.320000,53.889999,53.889999,13725700
2008-03-01,53.750000,56.759998,49.889999,51.500000,51.500000,16140700
2008-04-01,52.189999,57.150002,51.209999,53.380001,53.380001,14511600
2008-05-01,53.529999,59.590000,51.279999,58.299999,58.299999,14044000
2008-06-01,59.029999,59.400002,50.310001,51.700001,51.700001,16164100
2008-07-01,50.990002,61.799999,49.250000,59.750000,59.750000,18542500
2008-08-01,60.000000,61.250000,58.009998,59.299999,59.299999,10330400
2008-09-01,59.360001,66.150002,55.950001,58.910000,58.910000,14914000
2008-10-01,58.500000,59.430000,46.450001,58.430000,58.430000,22364900
2008-11-01,58.500000,61.869999,52.740002,57.299999,57.299999,44952500
2008-12-01,56.139999,57.150002,50.070000,52.080002,52.080002,19207700
2009-01-01,52.020000,53.340000,45.180000,48.919998,48.919998,21380600
2009-02-01,48.580002,51.450001,44.360001,47.980000,47.980000,23920200
2009-03-01,47.279999,50.779999,46.000000,47.730000,47.730000,26341800
2009-04-01,47.330002,52.360001,46.400002,47.080002,47.080002,20793700
2009-05-01,47.060001,52.639999,45.959999,49.980000,49.980000,20200500
2009-06-01,50.259998,52.060001,48.290001,51.529999,51.529999,16142800
2009-07-01,51.770000,53.369999,48.459999,51.200001,51.200001,13421500
2009-08-01,51.080002,52.200001,48.759998,49.520000,49.520000,12115800
2009-09-01,49.279999,50.290001,46.860001,48.439999,48.439999,17354800
2009-10-01,48.660000,54.320000,47.080002,52.369999,52.369999,19241100
2009-11-01,51.799999,55.869999,51.799999,54.730000,54.730000,13188000
2009-12-01,55.029999,58.340000,54.770000,55.169998,55.169998,13322900
2010-01-01,55.560001,56.189999,52.900002,52.910000,52.910000,9540600
2010-02-01,52.910000,56.090000,50.619999,55.180000,55.180000,15204400
2010-03-01,55.320000,56.549999,54.029999,54.500000,54.500000,10570100
2010-04-01,54.669998,59.529999,53.830002,58.900002,58.900002,11797700
2010-05-01,58.910000,59.150002,54.580002,58.619999,58.619999,15577000
2010-06-01,58.279999,67.029999,57.000000,65.580002,65.580002,23032700
2010-07-01,65.779999,67.000000,61.020000,63.000000,63.000000,17941200
2010-08-01,63.720001,67.470001,62.700001,65.500000,65.500000,13263200
2010-09-01,65.860001,70.980003,65.860001,69.480003,69.480003,10880400
2010-10-01,70.089996,73.449997,69.169998,71.739998,71.739998,9263500
2010-11-01,71.639999,74.290001,69.800003,73.900002,73.900002,9397600
2010-12-01,74.489998,82.160004,74.379997,80.919998,80.919998,11399700
2011-01-01,81.690002,82.209999,76.570000,78.489998,78.489998,10295400
2011-02-01,79.059998,87.910004,77.339996,86.419998,86.419998,10957100
2011-03-01,86.739998,89.709999,83.379997,88.669998,88.669998,10821700
2011-04-01,88.989998,95.709999,88.910004,91.279999,91.279999,9607300
2011-05-01,91.970001,93.930000,86.739998,89.089996,89.089996,10658600
2011-06-01,88.980003,89.339996,84.389999,89.120003,89.120003,9165300
2011-07-01,89.559998,93.949997,82.000000,82.120003,82.120003,8686600
2011-08-01,82.540001,88.849998,73.050003,87.709999,87.709999,17472400
2011-09-01,87.919998,87.989998,77.849998,80.720001,80.720001,11001300
