Date,Open,High,Low,Close,Adj Close,Volume
1988-12-01,0.000000,2.650357,2.291151,2.621232,0.876595,43144936
1989-01-01,2.611524,3.601767,2.611524,3.601767,1.204507,76150311
1989-02-01,3.601767,4.038639,3.368769,3.873598,1.295413,39534607
1989-03-01,3.902723,4.621135,3.893015,4.543469,1.519431,45695593
1989-04-01,4.543469,4.960924,4.242512,4.834717,1.616830,45378854
1989-05-01,4.815300,5.960876,4.795884,5.718169,1.912277,60202559
1989-06-01,5.824960,6.659871,4.708509,4.834717,1.616830,98107114
1989-07-01,4.931799,5.494879,4.504636,4.795884,1.606790,59411994
1989-08-01,4.757051,4.757051,4.135722,4.630843,1.551495,52034262
1989-09-01,4.679384,4.805592,4.417261,4.572594,1.531980,22809170
1989-10-01,4.592010,4.689093,3.825057,3.960973,1.327065,39445766
1989-11-01,3.941556,5.028882,3.834765,4.999757,1.675095,37287811
1989-12-01,4.679384,5.067715,4.630843,4.931799,1.652327,18866652
1990-01-01,4.970632,5.184214,4.465803,4.611427,1.544991,25997175
1990-02-01,4.679384,5.174506,4.659968,4.902675,1.646135,19810435
1990-03-01,4.892966,4.999757,4.184263,4.446386,1.492931,31211802
1990-04-01,4.426970,4.562885,3.883307,3.902723,1.310389,23253379
1990-05-01,3.970681,5.213339,3.931848,4.912383,1.649395,26590743
1990-06-01,4.990049,5.048299,4.582302,4.873550,1.636356,16822004
1990-07-01,5.009466,5.203631,4.659968,4.815300,1.616798,16952050
1990-08-01,4.825008,4.912383,3.825057,4.242512,1.432310,15860196
1990-09-01,4.193971,4.232804,3.310519,3.397893,1.147159,21296286
1990-10-01,3.533809,4.271637,3.494976,4.019222,1.356925,19442195
1990-11-01,3.931848,4.388136,3.766807,3.844474,1.297929,24616909
1990-12-01,3.863890,3.990098,3.669725,3.863890,1.304483,27596327
1991-01-01,3.854182,4.465803,3.766807,4.300762,1.451975,16133158
1991-02-01,4.281346,5.145381,4.281346,5.145381,1.758043,18825452
1991-03-01,5.145381,5.242464,4.757051,4.960924,1.695020,16596682
1991-04-01,4.951216,5.708461,4.854133,4.892966,1.671800,23692438
1991-05-01,4.892966,5.300714,4.892966,5.184214,1.771311,16588957
1991-06-01,5.164798,5.378380,4.242512,4.300762,1.469459,15262768
1991-07-01,4.329887,4.834717,4.271637,4.494927,1.549541,14946026
1991-08-01,4.504636,4.640551,4.291054,4.543469,1.566276,24378709
1991-09-01,4.504636,5.300714,4.426970,5.281297,1.851219,24378708
1991-10-01,5.242464,5.358963,4.873550,5.300714,1.858024,25310903
1991-11-01,5.281297,5.349255,4.795884,4.902675,1.718503,17003550
1991-12-01,4.854133,5.630795,4.834717,5.601670,1.963517,15530580
1992-01-01,5.611378,5.611378,4.757051,4.766759,1.670861,23635784
1992-02-01,4.698801,5.087132,4.659968,5.028882,1.781139,20716883
1992-03-01,5.028882,5.028882,4.329887,4.349303,1.540445,20300999
1992-04-01,4.232804,5.125965,4.135722,4.844425,1.715809,33907958
1992-05-01,4.873550,5.533712,4.834717,5.456046,1.932434,25554255
1992-06-01,5.320130,5.417213,4.795884,4.990049,1.767386,20830187
1992-07-01,4.960924,4.970632,4.494927,4.601718,1.648365,17727159
1992-08-01,4.640551,4.873550,4.465803,4.611427,1.651843,12884636
1992-09-01,4.582302,4.679384,4.135722,4.582302,1.641409,24356819
1992-10-01,4.533760,4.737634,4.300762,4.446386,1.592723,11263597
1992-11-01,4.465803,4.776467,4.349303,4.757051,1.704006,17255911
1992-12-01,4.795884,5.174506,4.757051,5.028882,1.801377,12979920
1993-01-01,5.048299,5.193923,4.329887,4.368720,1.564903,85790291
1993-02-01,4.310470,4.582302,4.232804,4.407553,1.595680,19460220
1993-03-01,4.485219,4.805592,4.417261,4.572594,1.655430,35387369
1993-04-01,4.659968,4.766759,4.524052,4.679384,1.694092,16685522
1993-05-01,4.659968,5.320130,4.630843,5.271589,1.908490,54593938
1993-06-01,5.223047,5.650211,5.184214,5.300714,1.919033,58782379
1993-07-01,5.339547,5.543420,5.106548,5.504587,2.012920,31860734
1993-08-01,5.601670,6.970535,5.601670,6.698704,2.449585,125690566
1993-09-01,6.553080,6.553080,5.786127,5.931751,2.169126,90538820
1993-10-01,5.941459,6.756954,5.941459,6.698704,2.449585,53597366
1993-11-01,6.650163,6.795787,5.941459,6.290957,2.300480,53355301
1993-12-01,6.485122,7.077326,6.397748,6.931702,2.534788,240220537
